店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
lar03AHE1p3Enoy3,Emack&Bolio's伊多乐堆叠冰淇淋(cdf三亚国际免税城店),643条评价,￥85,冰淇淋,三亚国际免税城,https://www.dianping.com/shop/lar03AHE1p3Enoy3,https://img.meituan.net/content/23f45731ad600d54daa3b9e7a5b89c481695650.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G43gkn6IKNfiElrC,MOSENIA莫西米亚冰淇淋(大悦城店),170条评价,￥25,冰淇淋,迎宾路北段,https://www.dianping.com/shop/G43gkn6IKNfiElrC,https://p0.meituan.net/biztone/ae3ffaa1add5f6a6aceeaed5409e161b132061.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
i9z1ihgn6BfrywM4,MOVO Gelato意大利新鲜工坊,303条评价,￥28,冰淇淋,迎宾路北段,https://www.dianping.com/shop/i9z1ihgn6BfrywM4,https://p0.meituan.net/biztone/4bcfed89d178f32d96fc8b202b49c7d2246692.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G2rlcKzc3nlZrBbu,俄罗斯海象皇宫冰淇淋(解放路店),157条评价,￥13,冰淇淋,第一市场,https://www.dianping.com/shop/G2rlcKzc3nlZrBbu,http://p0.meituan.net/merchant/4261b2eabab84343242659c8745401a2151099.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
iPx9EE6h6fMGXWbV,VENCHI 闻绮(cdf三亚国际免税城店),927条评价,￥76,甜品,三亚国际免税城,https://www.dianping.com/shop/iPx9EE6h6fMGXWbV,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
EBopq5Uf6t8Mi3WG,野人先生现做冰淇淋(三亚大悦城店),962条评价,￥29,冰淇淋,迎宾路北段,https://www.dianping.com/shop/EBopq5Uf6t8Mi3WG,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4WmXw0QNiXntFGY,ZAKUZAKU(cdf三亚国际免税城店),890条评价,￥36,甜品,三亚国际免税城,https://www.dianping.com/shop/l4WmXw0QNiXntFGY,http://p0.meituan.net/biztone/1545021335_1689270838202.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G27HlRyRybx6NkLF,ONE·G意大利手工冰淇淋,61条评价,￥24,冰淇淋,天涯镇,https://www.dianping.com/shop/G27HlRyRybx6NkLF,http://p0.meituan.net/merchant/c7c7411460efcc16f61367b5635844f5312183.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l6m3ER0O37Qq209p,Zzzing gelato,32条评价,￥27,冰淇淋,吉阳区,https://www.dianping.com/shop/l6m3ER0O37Qq209p,https://p0.meituan.net/poiugc/4d7a33967dfd6c7fe104d5f192d8e606152693.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7zRm5R0MzACDJDd,萌萌冰铺(天涯小镇店),9条评价,￥36,冰淇淋,天涯镇,https://www.dianping.com/shop/l7zRm5R0MzACDJDd,https://img.meituan.net/content/f327802ee4ef12e0d9e2feed647c858e3392099.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G40v4O1THxTYNNbp,爱尚冰淇淋,-,￥0,冰淇淋,一号港湾城/大菠萝,https://www.dianping.com/shop/G40v4O1THxTYNNbp,http://p0.meituan.net/poipicadd/2cd5e4d0ee51cfac5526a4c575e81c7d120390.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
k4UxEikHreKnbD2M,% Arabica阿拉比卡咖啡(cdf三亚国际免税城店),1169条评价,￥44,咖啡厅,三亚国际免税城,https://www.dianping.com/shop/k4UxEikHreKnbD2M,http://p0.meituan.net/biztone/189756977_1706247050347.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
ladyOBXMwE8ssBEq,DQ·蛋糕·冰淇淋(大悦城店),22条评价,￥27,冰淇淋,迎宾路北段,https://www.dianping.com/shop/ladyOBXMwE8ssBEq,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
