店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
H7dR3nRIP7tIGDDL,Azabuya麻布屋(兴业太古汇店),7499条评价,￥46,日本料理,南京西路,https://www.dianping.com/shop/H7dR3nRIP7tIGDDL,http://p1.meituan.net/biztone/0f97433b4a20a2b92ed696145e5a8abc126879.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k3QVo8iMK2XZPXyY,Gelato Di Natura 意式手工冰淇淋(华润时代广场店),1条评价,￥33,冰淇淋,陆家嘴,https://www.dianping.com/shop/k3QVo8iMK2XZPXyY,http://p0.meituan.net/poipicadd/4fa449b3fada3c3b0c11c72b4b3c67b2269376.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.0
iHLr59XuCr5LS34D,野人先生Gelato(上海五角场合生汇店),979条评价,￥31,冰淇淋,五角场/大学路,https://www.dianping.com/shop/iHLr59XuCr5LS34D,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H6SdEuPE0ZUKUNWk,野人先生Gelato(上海长宁龙之梦店),1667条评价,￥30,冰淇淋,中山公园/江苏路,https://www.dianping.com/shop/H6SdEuPE0ZUKUNWk,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l66W2uVQkYZGjQa5,ConnieHe笑屋(西岸梦中心店),1136条评价,￥54,面包烘焙,龙华/西岸,https://www.dianping.com/shop/l66W2uVQkYZGjQa5,https://img.meituan.net/content/13f3dd60de7031ae09ee80ee2c57d57c28566.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G9yi7HB9ku2wZJPn,DippinDots得意点(静安大悦城店),215条评价,￥33,冰淇淋,苏河湾,https://www.dianping.com/shop/G9yi7HB9ku2wZJPn,http://p0.meituan.net/merchant/b33ab4b31f2e2398fdafc981feafd940263431.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6nswKeOVA6bjVDQ,Azabuya麻布屋(上海万象城店),213条评价,￥37,冰淇淋,龙柏地区,https://www.dianping.com/shop/k6nswKeOVA6bjVDQ,https://img.meituan.net/content/353b640a917fc79ca6a4c2a35f68c4dd46207.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H5FtIwuR27Mmpkcf,野人先生Gelato(上海人广来福士店),3042条评价,￥30,冰淇淋,人民广场/南京路,https://www.dianping.com/shop/H5FtIwuR27Mmpkcf,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G9y1vdNf7QL1IV3S,Pie Bird(西岸梦中心店),307条评价,￥55,甜品,龙华/西岸,https://www.dianping.com/shop/G9y1vdNf7QL1IV3S,https://p0.meituan.net/biztone/d0ce856e0c7673f1f7887a820c1d58e7368385.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G8BIxDiRKynPWWHC,Sit Gelato,639条评价,￥41,冰淇淋,黄浦区,https://www.dianping.com/shop/G8BIxDiRKynPWWHC,https://p0.meituan.net/biztone/0f28b5c3bfd43b0ed405afe9bfa20042202866.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k4j1A8PU7XZA5qzW,麦当劳(崇明万达广场店),286条评价,￥32,西式快餐,南门,https://www.dianping.com/shop/k4j1A8PU7XZA5qzW,https://img.meituan.net/content/4eb7d42af7bab89a5c593940e5be4e4a158146.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G6rXTJiz5kF2HXdZ,Trua Boo(大学路店),580条评价,￥38,甜品,五角场/大学路,https://www.dianping.com/shop/G6rXTJiz5kF2HXdZ,http://p1.meituan.net/merchant/78eee3d0a3cab90482adc6ff63fd127674521.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
lam2YTYLDtbvxd4y,野人先生Gelato(中集美兰湖金地广场店),459条评价,￥31,冰淇淋,美兰湖,https://www.dianping.com/shop/lam2YTYLDtbvxd4y,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k5OOKFkJ0qVhgSPl,鹤茶野所(上海首店),2072条评价,￥33,冰淇淋,徐家汇,https://www.dianping.com/shop/k5OOKFkJ0qVhgSPl,https://p0.meituan.net/biztone/ac11ed74ca0e488a67c80ba4bd7b524b154221.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H5l6u3KrRRQrNAUx,GODIVA(蟠龙天地店),225条评价,￥58,甜品,国家会展中心,https://www.dianping.com/shop/H5l6u3KrRRQrNAUx,https://img.meituan.net/content/a6419cfb6990ec16756c2aa6e89e680f128910.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H7dR3nRIP7tIGDDL,Azabuya麻布屋(兴业太古汇店),7499条评价,￥46,日本料理,南京西路,https://www.dianping.com/shop/H7dR3nRIP7tIGDDL,http://p1.meituan.net/biztone/0f97433b4a20a2b92ed696145e5a8abc126879.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k3QVo8iMK2XZPXyY,Gelato Di Natura 意式手工冰淇淋(华润时代广场店),1条评价,￥33,冰淇淋,陆家嘴,https://www.dianping.com/shop/k3QVo8iMK2XZPXyY,http://p0.meituan.net/poipicadd/4fa449b3fada3c3b0c11c72b4b3c67b2269376.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.0
iHLr59XuCr5LS34D,野人先生Gelato(上海五角场合生汇店),979条评价,￥31,冰淇淋,五角场/大学路,https://www.dianping.com/shop/iHLr59XuCr5LS34D,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H6SdEuPE0ZUKUNWk,野人先生Gelato(上海长宁龙之梦店),1667条评价,￥30,冰淇淋,中山公园/江苏路,https://www.dianping.com/shop/H6SdEuPE0ZUKUNWk,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l66W2uVQkYZGjQa5,ConnieHe笑屋(西岸梦中心店),1136条评价,￥54,面包烘焙,龙华/西岸,https://www.dianping.com/shop/l66W2uVQkYZGjQa5,https://img.meituan.net/content/13f3dd60de7031ae09ee80ee2c57d57c28566.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G9yi7HB9ku2wZJPn,DippinDots得意点(静安大悦城店),215条评价,￥33,冰淇淋,苏河湾,https://www.dianping.com/shop/G9yi7HB9ku2wZJPn,http://p0.meituan.net/merchant/b33ab4b31f2e2398fdafc981feafd940263431.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6nswKeOVA6bjVDQ,Azabuya麻布屋(上海万象城店),213条评价,￥37,冰淇淋,龙柏地区,https://www.dianping.com/shop/k6nswKeOVA6bjVDQ,https://img.meituan.net/content/353b640a917fc79ca6a4c2a35f68c4dd46207.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H5FtIwuR27Mmpkcf,野人先生Gelato(上海人广来福士店),3042条评价,￥30,冰淇淋,人民广场/南京路,https://www.dianping.com/shop/H5FtIwuR27Mmpkcf,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G9y1vdNf7QL1IV3S,Pie Bird(西岸梦中心店),307条评价,￥55,甜品,龙华/西岸,https://www.dianping.com/shop/G9y1vdNf7QL1IV3S,https://p0.meituan.net/biztone/d0ce856e0c7673f1f7887a820c1d58e7368385.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G8BIxDiRKynPWWHC,Sit Gelato,639条评价,￥41,冰淇淋,黄浦区,https://www.dianping.com/shop/G8BIxDiRKynPWWHC,https://p0.meituan.net/biztone/0f28b5c3bfd43b0ed405afe9bfa20042202866.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k4j1A8PU7XZA5qzW,麦当劳(崇明万达广场店),286条评价,￥32,西式快餐,南门,https://www.dianping.com/shop/k4j1A8PU7XZA5qzW,https://img.meituan.net/content/4eb7d42af7bab89a5c593940e5be4e4a158146.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G6rXTJiz5kF2HXdZ,Trua Boo(大学路店),580条评价,￥38,甜品,五角场/大学路,https://www.dianping.com/shop/G6rXTJiz5kF2HXdZ,http://p1.meituan.net/merchant/78eee3d0a3cab90482adc6ff63fd127674521.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
lam2YTYLDtbvxd4y,野人先生Gelato(中集美兰湖金地广场店),459条评价,￥31,冰淇淋,美兰湖,https://www.dianping.com/shop/lam2YTYLDtbvxd4y,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k5OOKFkJ0qVhgSPl,鹤茶野所(上海首店),2072条评价,￥33,冰淇淋,徐家汇,https://www.dianping.com/shop/k5OOKFkJ0qVhgSPl,https://p0.meituan.net/biztone/ac11ed74ca0e488a67c80ba4bd7b524b154221.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
