店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G48Sw6TTjjyhcQk6,古兰丹姆冰淇淋(新疆人民剧场店),244条评价,￥28,冰淇淋,南门,https://www.dianping.com/shop/G48Sw6TTjjyhcQk6,http://qcloud.dpfile.com/pc/okyc6w_lAc5ZMcQsPTCZA6StLazAhux1KGHRq1JhPlCplPiGuh1Tl_cOX_Sd3M8ebKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
G9RbeiHw5grECaVA,姆滋古丽冰激淋咖啡馆,241条评价,￥32,冰淇淋,国际大巴扎,https://www.dianping.com/shop/G9RbeiHw5grECaVA,https://p0.meituan.net/biztone/aee5e24ba1177e2e21ff694184dc7fc51556397.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l919xEaiKYgJQzmi,伊孜海迩冰淇淋,767条评价,￥13,冰淇淋,新疆大学,https://www.dianping.com/shop/l919xEaiKYgJQzmi,http://qcloud.dpfile.com/pc/Gg0J5WsgvrAYMsrJkr7wmDRCXy6KXtZrNBG_hne_ThJxfOasxB0tol5BWceNMBJQbKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
H34pXCsaY6vhfs2Z,西琳姑娘·新疆冰淇淋酸奶茶(解放北路店),234条评价,￥17,饮品店,人民广场,https://www.dianping.com/shop/H34pXCsaY6vhfs2Z,https://img.meituan.net/content/b7934fa7438e0422b443e841feb7405d3320934.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
j5DZxpFoN0094x1P,阿吾拉力冰淇淋店(领馆巷店),77条评价,￥15,冰淇淋,新疆大学,https://www.dianping.com/shop/j5DZxpFoN0094x1P,http://p1.meituan.net/poimerchant/26822f600279e4a3241c79135ce25c55151268.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k8Sd1qwgRIEKCvYR,伊犁百年冰淇淋店,7条评价,￥0,冰淇淋,新疆大学,https://www.dianping.com/shop/k8Sd1qwgRIEKCvYR,http://p0.meituan.net/poipicadd/b8760d18d860d84df1648e747240b9cc138550.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
kaShrukxUKGAmQj8,冰巴郎,125条评价,￥11,冰淇淋,文化路,https://www.dianping.com/shop/kaShrukxUKGAmQj8,http://p0.meituan.net/merchant/ec594de530655ed7f4c2bbe40cfc4a57198340.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G2zJkaOw1WUH5bob,正飞鲜奶(公园北街店),1320条评价,￥19,酸奶,沙依巴克区,https://www.dianping.com/shop/G2zJkaOw1WUH5bob,http://qcloud.dpfile.com/pc/ya6czJrGj4TXcSyTUV5pDCpEn3jlhtTy__8PjnFHbSjsyAGNfJ1pc9w7eCaXoMGnbKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
G2hUHnrwmy6Vs0gF,赞美伊犁手工冰淇淋王,63条评价,￥6,冰淇淋,黄河路,https://www.dianping.com/shop/G2hUHnrwmy6Vs0gF,http://p1.meituan.net/poipicadd/cbd600ca2c7d913218af6123aa450e8c594153.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k5Uf94SZ4TLYDRpy,疆淇手工冰淇淋店,41条评价,￥14,冰淇淋,亚欧国际会展中心,https://www.dianping.com/shop/k5Uf94SZ4TLYDRpy,http://p0.meituan.net/biztone/918633802_1709122638799.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k921rPNYhocspIVv,LLA纯乳冰激淋(CCmall店),131条评价,￥19,冰淇淋,光明路,https://www.dianping.com/shop/k921rPNYhocspIVv,http://p0.meituan.net/merchant/61423f5602ca1340e168a9579adbfdb1389205.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k5859JG3gPTZ9MG7,爱茜茜里冰激凌(时代广场店),62条评价,￥26,冰淇淋,光明路,https://www.dianping.com/shop/k5859JG3gPTZ9MG7,https://img.meituan.net/content/ee3d89c783737dde0b6e02b17db14ad5103815.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l7evjNdpCcR09UjH,博斯坎和田酸奶粽子冰水王(总店),126条评价,￥19,甜品,新市区,https://www.dianping.com/shop/l7evjNdpCcR09UjH,http://p1.meituan.net/merchant/e8b4b028291e4837b2e5158a22ee5992117521.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k21Azu2CDZfmwhZW,古力美丽冰淇淋西餐厅,23条评价,￥68,冰淇淋,新疆大学,https://www.dianping.com/shop/k21Azu2CDZfmwhZW,http://p0.meituan.net/poipicadd/e6c472d296595c2ccba839f6c1a02f65286804.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G9ZNAVjJvGnF5oAx,赞美伊利奶油冰淇淋王,54条评价,￥4,冰淇淋,新华南路,https://www.dianping.com/shop/G9ZNAVjJvGnF5oAx,http://p0.meituan.net/poipicadd/37794a5c7bc406f163ec15e0a2555e40386221.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G48Sw6TTjjyhcQk6,古兰丹姆冰淇淋(新疆人民剧场店),244条评价,￥28,冰淇淋,南门,https://www.dianping.com/shop/G48Sw6TTjjyhcQk6,http://qcloud.dpfile.com/pc/okyc6w_lAc5ZMcQsPTCZA6StLazAhux1KGHRq1JhPlCplPiGuh1Tl_cOX_Sd3M8ebKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
G9RbeiHw5grECaVA,姆滋古丽冰激淋咖啡馆,241条评价,￥32,冰淇淋,国际大巴扎,https://www.dianping.com/shop/G9RbeiHw5grECaVA,https://p0.meituan.net/biztone/aee5e24ba1177e2e21ff694184dc7fc51556397.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l919xEaiKYgJQzmi,伊孜海迩冰淇淋,767条评价,￥13,冰淇淋,新疆大学,https://www.dianping.com/shop/l919xEaiKYgJQzmi,http://qcloud.dpfile.com/pc/Gg0J5WsgvrAYMsrJkr7wmDRCXy6KXtZrNBG_hne_ThJxfOasxB0tol5BWceNMBJQbKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
H34pXCsaY6vhfs2Z,西琳姑娘·新疆冰淇淋酸奶茶(解放北路店),234条评价,￥17,饮品店,人民广场,https://www.dianping.com/shop/H34pXCsaY6vhfs2Z,https://img.meituan.net/content/b7934fa7438e0422b443e841feb7405d3320934.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
j5DZxpFoN0094x1P,阿吾拉力冰淇淋店(领馆巷店),77条评价,￥15,冰淇淋,新疆大学,https://www.dianping.com/shop/j5DZxpFoN0094x1P,http://p1.meituan.net/poimerchant/26822f600279e4a3241c79135ce25c55151268.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k8Sd1qwgRIEKCvYR,伊犁百年冰淇淋店,7条评价,￥0,冰淇淋,新疆大学,https://www.dianping.com/shop/k8Sd1qwgRIEKCvYR,http://p0.meituan.net/poipicadd/b8760d18d860d84df1648e747240b9cc138550.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
kaShrukxUKGAmQj8,冰巴郎,125条评价,￥11,冰淇淋,文化路,https://www.dianping.com/shop/kaShrukxUKGAmQj8,http://p0.meituan.net/merchant/ec594de530655ed7f4c2bbe40cfc4a57198340.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G2zJkaOw1WUH5bob,正飞鲜奶(公园北街店),1320条评价,￥19,酸奶,沙依巴克区,https://www.dianping.com/shop/G2zJkaOw1WUH5bob,http://qcloud.dpfile.com/pc/ya6czJrGj4TXcSyTUV5pDCpEn3jlhtTy__8PjnFHbSjsyAGNfJ1pc9w7eCaXoMGnbKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
G2hUHnrwmy6Vs0gF,赞美伊犁手工冰淇淋王,63条评价,￥6,冰淇淋,黄河路,https://www.dianping.com/shop/G2hUHnrwmy6Vs0gF,http://p1.meituan.net/poipicadd/cbd600ca2c7d913218af6123aa450e8c594153.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k5Uf94SZ4TLYDRpy,疆淇手工冰淇淋店,41条评价,￥14,冰淇淋,亚欧国际会展中心,https://www.dianping.com/shop/k5Uf94SZ4TLYDRpy,http://p0.meituan.net/biztone/918633802_1709122638799.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k921rPNYhocspIVv,LLA纯乳冰激淋(CCmall店),131条评价,￥19,冰淇淋,光明路,https://www.dianping.com/shop/k921rPNYhocspIVv,http://p0.meituan.net/merchant/61423f5602ca1340e168a9579adbfdb1389205.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k5859JG3gPTZ9MG7,爱茜茜里冰激凌(时代广场店),62条评价,￥26,冰淇淋,光明路,https://www.dianping.com/shop/k5859JG3gPTZ9MG7,https://img.meituan.net/content/ee3d89c783737dde0b6e02b17db14ad5103815.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l7evjNdpCcR09UjH,博斯坎和田酸奶粽子冰水王(总店),126条评价,￥19,甜品,新市区,https://www.dianping.com/shop/l7evjNdpCcR09UjH,http://p1.meituan.net/merchant/e8b4b028291e4837b2e5158a22ee5992117521.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k21Azu2CDZfmwhZW,古力美丽冰淇淋西餐厅,23条评价,￥68,冰淇淋,新疆大学,https://www.dianping.com/shop/k21Azu2CDZfmwhZW,http://p0.meituan.net/poipicadd/e6c472d296595c2ccba839f6c1a02f65286804.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G9ZNAVjJvGnF5oAx,赞美伊利奶油冰淇淋王,54条评价,￥4,冰淇淋,新华南路,https://www.dianping.com/shop/G9ZNAVjJvGnF5oAx,http://p0.meituan.net/poipicadd/37794a5c7bc406f163ec15e0a2555e40386221.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l96LY6lX64auWN4U,爱茜茜里冰淇淋(米东吾悦店),5条评价,￥31,冰淇淋,米东区中心城区,https://www.dianping.com/shop/l96LY6lX64auWN4U,https://img.meituan.net/content/bbc180a1822bc9d136635d1f14b0605b100874.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H8u6b1kBo5dfEwH3,MOVO冰淇淋&咖啡(经开万达店),196条评价,￥24,冰淇淋,万达广场,https://www.dianping.com/shop/H8u6b1kBo5dfEwH3,https://img.meituan.net/content/e9c5ec26cc312206df96e0986c2af4e2626789.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l1iaEQ6X6qbSDC7l,爱茜茜里冰淇淋(会展吾悦店),16条评价,￥31,冰淇淋,亚欧国际会展中心,https://www.dianping.com/shop/l1iaEQ6X6qbSDC7l,https://img.meituan.net/content/bbc180a1822bc9d136635d1f14b0605b100874.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l89fXwv0YGVE2fxs,和田爱乐塔西娜刨冰粽子,319条评价,￥10,冰淇淋,新疆民俗街,https://www.dianping.com/shop/l89fXwv0YGVE2fxs,http://qcloud.dpfile.com/pc/wkGRNYBfU1ZG6bDd5m38-Rdj_vxXq-kGXjz8EJOIu8m8QDOfHvr0HFPbgU8uhSebbKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
H6MXyDVJICejvEog,萨朗刀克冰淇淋雪花凉(财经大学店),128条评价,￥8,冰淇淋,二宫体育馆,https://www.dianping.com/shop/H6MXyDVJICejvEog,http://p0.meituan.net/merchant/bcbff79d06360b7dbbe795e6a7057447112286.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k4OoaOp6N8DjmRRD,西琳姑娘·新疆冰淇淋酸奶茶(南昌路店),135条评价,￥15,酸奶,新疆农业大学,https://www.dianping.com/shop/k4OoaOp6N8DjmRRD,https://img.meituan.net/content/b7934fa7438e0422b443e841feb7405d3320934.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
FSgo3uy8V0DwKjPi,DQ·蛋糕·冰淇淋(乌鲁木齐北京路汇嘉店),584条评价,￥29,冰淇淋,铁路局,https://www.dianping.com/shop/FSgo3uy8V0DwKjPi,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l4vgimwglGjyT7At,阿吾拉力冰淇淋(南公园小区店),3条评价,￥29,冰淇淋,天山区,https://www.dianping.com/shop/l4vgimwglGjyT7At,http://qcloud.dpfile.com/pc/fTwN-48EuzSi7NR8brVvYs78iBIlPgDKZcJ5UWFfF3P_6ATiXK-VOW3bSoDeuH_PbKcq9vnEaGy3xLEf-_v_oA.jpg,3.5
G71Pa0pOCLwy3F6g,TIP TOP新西兰原装进口冰淇淋,18条评价,￥21,冰淇淋,长江路,https://www.dianping.com/shop/G71Pa0pOCLwy3F6g,https://p0.meituan.net/biztone/14638b4c7d0bca0e28d393dcfb5aab7c114418.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
