店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
k2CiKYd9iWdUKeiL,iGELATO意大利手工冰淇淋(合生汇店),3043条评价,￥44,冰淇淋,大望路,https://www.dianping.com/shop/k2CiKYd9iWdUKeiL,https://p0.meituan.net/biztone/996e2c3504bca21763c4f8422cfba3c7260593.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H8LI3hTIhIBayJmu,吴裕泰(雍和宫店),4517条评价,￥12,冰淇淋,安定门,https://www.dianping.com/shop/H8LI3hTIhIBayJmu,http://p0.meituan.net/poipicadd/46a0dae4bb01893c1f80c5c4782ddc99419398.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H4mtLEpeMyt0bhNc,Emonster Gelato,51条评价,￥33,冰淇淋,宋庄,https://www.dianping.com/shop/H4mtLEpeMyt0bhNc,https://p0.meituan.net/biztone/39e6454c0b9e1f7e1605bf5323c5d2df270507.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
la1UdO3t1VZaY1mf,北平制冰厂(前门店),682条评价,￥23,饮品店,前门/大栅栏,https://www.dianping.com/shop/la1UdO3t1VZaY1mf,http://p0.meituan.net/biztone/8ab24bb848b19bf5c8f929b12eb8e77a125749.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k1uvcA6GH4GzPk30,Apollo Planet 阿波罗星球冰淇淋(北京首店),355条评价,￥33,冰淇淋,常营,https://www.dianping.com/shop/k1uvcA6GH4GzPk30,https://p0.meituan.net/biztone/62ae84e125078fb679512438e48e3924654923.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4Ub0gzKWOeuwXtK,吴裕泰(首开通州万象汇店),45条评价,￥12,茶饮果汁,通州区,https://www.dianping.com/shop/l4Ub0gzKWOeuwXtK,http://p1.meituan.net/poipicadd/d4504634e103c5028c81a3f2fc579b1e408628.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
j88VjLlSA5PNQIcC,青初·QINGCHU(西单大悦城店),4023条评价,￥21,茶饮果汁,西单,https://www.dianping.com/shop/j88VjLlSA5PNQIcC,http://p0.meituan.net/biztone/90b35ac223fb1e6c137cf4ee2417527a669350.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G2hMQzTmlihJZgrt,野人先生现做冰淇淋(首开通州万象汇店),318条评价,￥32,冰淇淋,通州区,https://www.dianping.com/shop/G2hMQzTmlihJZgrt,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H711XYI0ejFqMN9J,九十葉·抹茶专门店(北京·王府中环店),932条评价,￥47,冰淇淋,王府井/东单,https://www.dianping.com/shop/H711XYI0ejFqMN9J,https://img.meituan.net/content/7be9a5e6a958ed20f5e47e725d7004ad49627.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l2gcJPFXZEZnVPzQ,THE MATCHA TOKYO今抹京茶(西单更新场店),540条评价,￥36,茶饮果汁,西单,https://www.dianping.com/shop/l2gcJPFXZEZnVPzQ,https://img.meituan.net/content/ac72367e570d44abafbeb0774cf27ad4691127.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
