店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
l2hktlqgCfSSu1Nq,Dip in Gelato 意式手工冰淇淋(德基店),206条评价,￥35,冰淇淋,新街口/德基广场,https://www.dianping.com/shop/l2hktlqgCfSSu1Nq,https://p0.meituan.net/biztone/21fa9dcb53e5b912a05bb7a8a6ccae2a138807.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G12Mf16jsrMju20o,意大利Gelato手工冰淇淋-小粉星空,89条评价,￥23,冰淇淋,仙林大学城,https://www.dianping.com/shop/G12Mf16jsrMju20o,https://p0.meituan.net/biztone/dd9daae295010cebddeb665ecae39fe8500786.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l2PEokj14MfqAYGb,米糯糯·minono·大福冰淇淋(亚洲首店),4459条评价,￥30,冰淇淋,新街口/德基广场,https://www.dianping.com/shop/l2PEokj14MfqAYGb,https://p0.meituan.net/biztone/47cc19b0905589edf04fb0b5a4b4d6e5226213.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H2dqS1fGarvgugQI,冰淇淋博物馆 MUSEO Gelateria(南京首店),54条评价,￥35,冰淇淋,新街口地区,https://www.dianping.com/shop/H2dqS1fGarvgugQI,https://p0.meituan.net/biztone/1a86452832fa2c61c6740589403b9810104149.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k5JHqmcOiIwhpy6z,Gelateria di Orcia 奥尔恰(熙南里店),5068条评价,￥27,冰淇淋,升州路/集庆路,https://www.dianping.com/shop/k5JHqmcOiIwhpy6z,https://img.meituan.net/content/ca32a6b42bb3b640758c2f9a461f7a7e45001.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l6StahIRMoTakFEy,GELATO PIQUE(南京德基店),22条评价,￥977,冰淇淋,新街口地区,https://www.dianping.com/shop/l6StahIRMoTakFEy,http://p1.meituan.net/poipicadd/f2af579f4d7668a3f404ddc0ccb76702143478.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G7DGspiSQWRlv6Jf,酥茯 GELATO,822条评价,￥29,冰淇淋,新街口/德基广场,https://www.dianping.com/shop/G7DGspiSQWRlv6Jf,http://p0.meituan.net/merchant/90b503500b2cc1e022c863ea5525189a50801.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l67dn2crDoePKCmJ,VENCHI 闻绮(南京德基店),2413条评价,￥68,甜品,新街口/德基广场,https://www.dianping.com/shop/l67dn2crDoePKCmJ,https://img.meituan.net/content/3981d8306078e7c9d91116e8a138f9b0198977.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7gKoTThgQ84RJxs,福禄雪糕Fulooo Gelato(南京店),89条评价,￥27,冰淇淋,常府街/长白街,https://www.dianping.com/shop/l7gKoTThgQ84RJxs,https://p0.meituan.net/biztone/e02e4877a2b6c8e5e62b014b6e484903153127.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G6LRplNhd39MjrpV,ROSEARK GELATO玫瑰方舟,404条评价,￥32,冰淇淋,新街口地区,https://www.dianping.com/shop/G6LRplNhd39MjrpV,https://p0.meituan.net/biztone/7c3dbec9d8eba564891ad204376f03bd624916.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
kaj5F3xDigwOmS0g,野人先生现做冰淇淋(南京城北万象汇店),582条评价,￥28,冰淇淋,万寿商业街,https://www.dianping.com/shop/kaj5F3xDigwOmS0g,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
