店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
H9whBA2reaJ4EaGC,KIMO意大利冰淇淋(SM店),388条评价,￥19,冰品,SM广场,https://www.dianping.com/shop/H9whBA2reaJ4EaGC,http://p0.meituan.net/biztone/646593848_1628580792332.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H6H50xMQqMQEtLrP,Sue's Gelato苏小糖意式手工冰淇淋(鼓浪屿店),417条评价,￥37,冰品,鼓浪屿,https://www.dianping.com/shop/H6H50xMQqMQEtLrP,https://img.meituan.net/content/c3487cd4f41c0b5a0f6cd1ba5e4c5e941334390.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H4JRJRDTxeqcwLW2,Pure 1st(万象城店),44条评价,￥36,冰品,禾祥东路沿线,https://www.dianping.com/shop/H4JRJRDTxeqcwLW2,https://p0.meituan.net/biztone/a4847832998c548f19bf162cc394692415505.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H9JEPeBVfYOLdLNV,意大利手工冰淇淋Gelato(思明北路店),4条评价,￥31,冰品,中山路/轮渡,https://www.dianping.com/shop/H9JEPeBVfYOLdLNV,http://p0.meituan.net/poipicadd/78be9bae643c9fb1a228154e46143c64387067.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G2ufesnyiQGx7uKm,野人先生现做冰淇淋(厦门SM店),392条评价,￥31,冰品,SM广场,https://www.dianping.com/shop/G2ufesnyiQGx7uKm,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H2gNmbU4SRE7FR5A,LUCALATO,22条评价,￥27,冰品,中山公园,https://www.dianping.com/shop/H2gNmbU4SRE7FR5A,http://p0.meituan.net/poipicadd/b4c7987c17cab6c01834cf3d69499c5f279016.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G5YSzu1WHcKXf3un,Pure 1st(湾悦城店),53条评价,￥31,冰品,五缘湾建发湾悦城,https://www.dianping.com/shop/G5YSzu1WHcKXf3un,https://p0.meituan.net/biztone/d0834728034ae1e53fa6082c0aab5ca3333712.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G2wOg7Xb8msE9OED,野人先生现做冰淇淋(厦门大悦城店),234条评价,￥32,冰品,大学康城/杏林湾,https://www.dianping.com/shop/G2wOg7Xb8msE9OED,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4ajTWDEkmeUz9tI,KIMO(幸福路店),186条评价,￥30,冰品,中山公园,https://www.dianping.com/shop/l4ajTWDEkmeUz9tI,https://p0.meituan.net/biztone/64a3539aae8e0064bc8da7e6810e31f61131614.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k2Y3KPhc8QeMYTbw,GODIVA(厦门SM广场店),1015条评价,￥53,冰品,SM广场,https://www.dianping.com/shop/k2Y3KPhc8QeMYTbw,https://img.meituan.net/content/a6419cfb6990ec16756c2aa6e89e680f128910.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G32wgoEhjLdhBCkf,MOSENIA莫西米亚冰淇淋(SM二期店),869条评价,￥18,冰品,嘉禾路,https://www.dianping.com/shop/G32wgoEhjLdhBCkf,http://p0.meituan.net/merchant/1389bca417a32bc01d87b54b6a7e7389133808.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H3hiyhcdsySiXNWk,百万万BRAVO(厦大沙坡尾店),9587条评价,￥71,西餐,厦门大学,https://www.dianping.com/shop/H3hiyhcdsySiXNWk,https://img.meituan.net/content/ed90347f8fc5d8246cfed41078bc60572051111.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
l2vaa6UXKuQQ54aB,安卡拉土耳其冰淇淋(福建路店),332条评价,￥28,冰品,鼓浪屿,https://www.dianping.com/shop/l2vaa6UXKuQQ54aB,http://p0.meituan.net/poipicadd/8c0278c6fc7a3f1c711c1dc544849022328387.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H9qGdsdCRdjB4dgn,波比艾斯(厦门集美大悦城店),30条评价,￥14,冰品,大学康城/杏林湾,https://www.dianping.com/shop/H9qGdsdCRdjB4dgn,https://img.meituan.net/content/9b9b7a1d5bbd8e5839b0e497b413050e112599.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
