店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
l4KvYRf5vLjOk0FU,Scoop Gelato,155条评价,￥33,冰淇淋,公路大桥,https://www.dianping.com/shop/l4KvYRf5vLjOk0FU,https://p0.meituan.net/biztone/00492164c89367ba546949f60cf694fd49481.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
l73MLoXeRWCQiWvP,玺柚Gelato意大利手工冰淇淋·蛋糕,222条评价,￥31,冰淇淋,李范五花园,https://www.dianping.com/shop/l73MLoXeRWCQiWvP,http://p0.meituan.net/merchant/fc5a829b4bb14f5afbe3a9ec0f566ebc85658.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l6KykM15kiLU3pSE,DF冰淇淋(王府井店),37条评价,￥18,冰淇淋,群力地区,https://www.dianping.com/shop/l6KykM15kiLU3pSE,http://p1.meituan.net/mogu/c82d4acdc0d83f9b2f8e74e05e25cb7922647.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H3dfmxjbMIqMIH8D,罗曼林冰淇淋(哈尔滨杉杉奥莱店),22条评价,￥12,冰淇淋,学院路,https://www.dianping.com/shop/H3dfmxjbMIqMIH8D,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H8vuAOng3pN9mScc,TI AMO意大利手工冰淇淋,77条评价,￥25,冰淇淋,关东古巷,https://www.dianping.com/shop/H8vuAOng3pN9mScc,http://p0.meituan.net/poipicadd/1dd50be9d4bd185f54598dabc6a2aeb4576445.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
ETLWFHDOdPnpNh4h,野人先生现做冰淇淋(哈尔滨凯德店),438条评价,￥32,冰淇淋,学府路/凯德广场,https://www.dianping.com/shop/ETLWFHDOdPnpNh4h,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H234PpaZoaBwaTJi,罗曼林罗曼冰淇淋(中央大街店),119条评价,￥13,冰淇淋,中央大街索菲亚广场,https://www.dianping.com/shop/H234PpaZoaBwaTJi,http://p0.meituan.net/poipicadd/383b88e5cc4a4334746708a42df23828323480.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H5XL2CFgVbqOxkHg,马迭尔冷饮厅1906(中央大街店),14099条评价,￥12,冰淇淋,中央大街索菲亚广场,https://www.dianping.com/shop/H5XL2CFgVbqOxkHg,https://img.meituan.net/msmerchant/88fcf4caa771c5e2a412ca0d1ef97c4f58903.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4BUOCXLgTx03jA7,minimelts冰淇淋(西城红场店),32条评价,￥32,冰淇淋,哈西大街,https://www.dianping.com/shop/l4BUOCXLgTx03jA7,http://p1.meituan.net/poipicadd/2fbdd82d70a4cb7d675558b54090a739403041.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k6Bt5xPmpJNZ1MiO,怡卡手工冰淇淋(红博中央公园店),131条评价,￥15,冰淇淋,开发区,https://www.dianping.com/shop/k6Bt5xPmpJNZ1MiO,http://p0.meituan.net/merchant/077efda67bde1f18083322b5b924450964264.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k2H9S7vaFx8PB0cc,里多浓冰淇淋店,108条评价,￥28,冰淇淋,哈工大/教化广场,https://www.dianping.com/shop/k2H9S7vaFx8PB0cc,http://p0.meituan.net/poipicadd/f22fdc0668ec26878482a00f9c6d5813724462.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l3c0zUrvrxESlfJe,罗曼林冰淇淋(金爵万象店),45条评价,￥15,冰淇淋,哈西大街,https://www.dianping.com/shop/l3c0zUrvrxESlfJe,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l9lEdb1mYGZSh4s2,中气食族中医冰淇淋(中央大街店),319条评价,￥23,冰淇淋,中央大街索菲亚广场,https://www.dianping.com/shop/l9lEdb1mYGZSh4s2,https://img.meituan.net/content/d37a9f1e26cefe8c3ee3dda63129774b164437.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H2VWKcW2AveBdNEW,罗曼林冰淇淋(红博中央公园店),78条评价,￥10,冰淇淋,国际会展中心,https://www.dianping.com/shop/H2VWKcW2AveBdNEW,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
