店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
H2nsMO4KCuCYG6Mc,Fresh Get·gelato意式手工冰淇淋,228条评价,￥32,冰淇淋,中山区,https://www.dianping.com/shop/H2nsMO4KCuCYG6Mc,http://p1.meituan.net/merchant/a78fc73857e46f03e75f9a1d685399c6193635.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
l8lIo6rhACGkEsd0,MOVENPICK瑞士莫凡彼冰淇淋(恒隆广场店),158条评价,￥35,冰淇淋,恒隆广场,https://www.dianping.com/shop/l8lIo6rhACGkEsd0,http://p1.meituan.net/biztone/1049499439_1683594135646.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
FQ1H3pOkLjoF58Gg,Murphy's ice cream(柏威年店),373条评价,￥37,冰淇淋,胜利广场/青泥洼桥,https://www.dianping.com/shop/FQ1H3pOkLjoF58Gg,http://p1.meituan.net/biztone/1469875387_1694929085784.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G8TvWcF4KTYal243,LACOLA Gelato意式手工冰淇淋(恒隆广场店),19条评价,￥39,冰淇淋,恒隆广场,https://www.dianping.com/shop/G8TvWcF4KTYal243,https://p0.meituan.net/biztone/f07cf4313e8c79c79f887645f2b92635297393.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
H6LpwoNqV7h8jakM,Hipilato意式冰淇淋,617条评价,￥33,冰淇淋,民主广场,https://www.dianping.com/shop/H6LpwoNqV7h8jakM,http://p0.meituan.net/merchant/0f43136e735622f7cb8fd133a45d3c1064912.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k4D1T4RLoBjxhb3Y,LACOLA Gelato意式手工冰淇淋(高新万达店),6条评价,￥35,冰淇淋,万达广场,https://www.dianping.com/shop/k4D1T4RLoBjxhb3Y,https://p0.meituan.net/biztone/f07cf4313e8c79c79f887645f2b92635297393.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G4iIZxVXUAk46El2,Murphy's ice cream(东港店),215条评价,￥37,冰淇淋,中山区,https://www.dianping.com/shop/G4iIZxVXUAk46El2,http://p1.meituan.net/biztone/1469875387_1694929085784.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
E28RRGI3s1ZYjfnp,CHILL D PARK GELATO,253条评价,￥30,冰淇淋,中山区,https://www.dianping.com/shop/E28RRGI3s1ZYjfnp,https://p0.meituan.net/biztone/9c7b4af4b26e64db889b13ca51839cf8454083.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k6h3yh31FAstftI6,极拉图(大连罗斯福店),302条评价,￥16,冰淇淋,罗斯福购物中心,https://www.dianping.com/shop/k6h3yh31FAstftI6,http://p0.meituan.net/biztone/0b466d55e2e73b17251b5f3401aa6a0592197.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G236HGz21IMlp2pn,LACOLA Gelato意式手工冰淇淋(万象汇店),213条评价,￥35,冰淇淋,华南广场,https://www.dianping.com/shop/G236HGz21IMlp2pn,https://p0.meituan.net/biztone/f07cf4313e8c79c79f887645f2b92635297393.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
