店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G3ZLA2pB532YLSdB,Apollo Planet 阿波罗星球冰淇淋(天河城店),592条评价,￥30,冰淇淋,和平路,https://www.dianping.com/shop/G3ZLA2pB532YLSdB,https://p0.meituan.net/biztone/62ae84e125078fb679512438e48e3924654923.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l8jBh22ocSmVkbzp,Apollo Planet阿波罗星球冰淇淋(滨海万达店),120条评价,￥30,冰淇淋,滨海新区,https://www.dianping.com/shop/l8jBh22ocSmVkbzp,https://p0.meituan.net/biztone/f3c623b9a46d8c023dd746b474c98a0f641231.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G768EYmUz1I2j6gf,Sevengelato·直营店(和平大悦城店),1509条评价,￥26,冰淇淋,滨江道,https://www.dianping.com/shop/G768EYmUz1I2j6gf,https://p0.meituan.net/biztone/f99160ed6c787937277402622580014281833.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
laRGkroX5sA548Jw,Apollo Planet阿波罗星球冰淇淋(龙湖天街店),62条评价,￥34,冰淇淋,梅江小区,https://www.dianping.com/shop/laRGkroX5sA548Jw,https://p0.meituan.net/biztone/62ae84e125078fb679512438e48e3924654923.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
iQeu6b1P7o0kuWWh,美登高冰淇淋(天河城店),188条评价,￥24,冰淇淋,和平路,https://www.dianping.com/shop/iQeu6b1P7o0kuWWh,https://img.meituan.net/content/e9310c63f1e3a1475ea94c524b176ae256238.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G20S5k7ikuC1Wv8y,Panda queen熊猫女王(天津未来城店),109条评价,￥11,茶饮果汁,宜兴埠,https://www.dianping.com/shop/G20S5k7ikuC1Wv8y,https://p0.meituan.net/biztone/d84da80e5e8825a92ebfc6cb238d8036165775.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G9HtvHo2k4C7sTLn,肯德基(大悦城商厦店),1666条评价,￥30,西式快餐,大悦城,https://www.dianping.com/shop/G9HtvHo2k4C7sTLn,https://img.meituan.net/content/0e35568513be996f4b936df7a92307de114434.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
GaGNSAKAQKeMs1yX,iGELATO意大利手工冰淇淋,681条评价,￥42,冰淇淋,大悦城,https://www.dianping.com/shop/GaGNSAKAQKeMs1yX,https://p0.meituan.net/biztone/eaf4ab671fb3de13763cb1396d3960bd265888.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G86ZgBWylUvgIttq,Apollo Planet阿波罗星球冰淇淋(南开大悦城店),66条评价,￥31,冰淇淋,大悦城,https://www.dianping.com/shop/G86ZgBWylUvgIttq,https://p0.meituan.net/biztone/8e1764bb9e5f34a713272aa59852f00b569981.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l3TDmWEWXH3l7Qk0,罗曼林冰淇淋(天津滨海新区万达店),18条评价,￥13,冰淇淋,滨海新区,https://www.dianping.com/shop/l3TDmWEWXH3l7Qk0,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G6bA9OKaF7bfXJnd,麦当劳甜品站(永旺梦乐城店),109条评价,￥19,冰淇淋,开发区永旺,https://www.dianping.com/shop/G6bA9OKaF7bfXJnd,http://p1.meituan.net/merchantpic/52b141fa0d65063d2d435a5cdb426915359898.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k33XFtHevMdhx8LB,Oncloud Gelato(水游城店),50条评价,￥25,冰淇淋,大丰路,https://www.dianping.com/shop/k33XFtHevMdhx8LB,https://p0.meituan.net/biztone/bf1a7d8656f7b56e0230150c03aa2010201939.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
ka05sm5DveKq60qL,Apollo Planet 阿波罗星球冰淇淋(中北永旺店),89条评价,￥30,冰淇淋,西青区,https://www.dianping.com/shop/ka05sm5DveKq60qL,https://p0.meituan.net/biztone/62ae84e125078fb679512438e48e3924654923.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H6DjvqQP1rJeLaMe,BITTER SWEETIE •Patisserie，Bloulangerie and Cafe(...,768条评价,￥57,冰淇淋,五大道,https://www.dianping.com/shop/H6DjvqQP1rJeLaMe,http://p0.meituan.net/biztone/1943394690_1632988804270.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
laQ6mVHkuDCZaKJ3,九十葉·抹茶专门店(天津·大悦城店),1069条评价,￥46,冰淇淋,大悦城,https://www.dianping.com/shop/laQ6mVHkuDCZaKJ3,https://img.meituan.net/content/924d2e4a472c122def24432e475df010394202.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G3ZLA2pB532YLSdB,Apollo Planet 阿波罗星球冰淇淋(天河城店),592条评价,￥30,冰淇淋,和平路,https://www.dianping.com/shop/G3ZLA2pB532YLSdB,https://p0.meituan.net/biztone/62ae84e125078fb679512438e48e3924654923.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l8jBh22ocSmVkbzp,Apollo Planet阿波罗星球冰淇淋(滨海万达店),120条评价,￥30,冰淇淋,滨海新区,https://www.dianping.com/shop/l8jBh22ocSmVkbzp,https://p0.meituan.net/biztone/f3c623b9a46d8c023dd746b474c98a0f641231.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G768EYmUz1I2j6gf,Sevengelato·直营店(和平大悦城店),1509条评价,￥26,冰淇淋,滨江道,https://www.dianping.com/shop/G768EYmUz1I2j6gf,https://p0.meituan.net/biztone/f99160ed6c787937277402622580014281833.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
laRGkroX5sA548Jw,Apollo Planet阿波罗星球冰淇淋(龙湖天街店),62条评价,￥34,冰淇淋,梅江小区,https://www.dianping.com/shop/laRGkroX5sA548Jw,https://p0.meituan.net/biztone/62ae84e125078fb679512438e48e3924654923.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
iQeu6b1P7o0kuWWh,美登高冰淇淋(天河城店),188条评价,￥24,冰淇淋,和平路,https://www.dianping.com/shop/iQeu6b1P7o0kuWWh,https://img.meituan.net/content/e9310c63f1e3a1475ea94c524b176ae256238.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G20S5k7ikuC1Wv8y,Panda queen熊猫女王(天津未来城店),109条评价,￥11,茶饮果汁,宜兴埠,https://www.dianping.com/shop/G20S5k7ikuC1Wv8y,https://p0.meituan.net/biztone/d84da80e5e8825a92ebfc6cb238d8036165775.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G9HtvHo2k4C7sTLn,肯德基(大悦城商厦店),1666条评价,￥30,西式快餐,大悦城,https://www.dianping.com/shop/G9HtvHo2k4C7sTLn,https://img.meituan.net/content/0e35568513be996f4b936df7a92307de114434.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
GaGNSAKAQKeMs1yX,iGELATO意大利手工冰淇淋,681条评价,￥42,冰淇淋,大悦城,https://www.dianping.com/shop/GaGNSAKAQKeMs1yX,https://p0.meituan.net/biztone/eaf4ab671fb3de13763cb1396d3960bd265888.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G86ZgBWylUvgIttq,Apollo Planet阿波罗星球冰淇淋(南开大悦城店),66条评价,￥31,冰淇淋,大悦城,https://www.dianping.com/shop/G86ZgBWylUvgIttq,https://p0.meituan.net/biztone/8e1764bb9e5f34a713272aa59852f00b569981.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l3TDmWEWXH3l7Qk0,罗曼林冰淇淋(天津滨海新区万达店),18条评价,￥13,冰淇淋,滨海新区,https://www.dianping.com/shop/l3TDmWEWXH3l7Qk0,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G6bA9OKaF7bfXJnd,麦当劳甜品站(永旺梦乐城店),109条评价,￥19,冰淇淋,开发区永旺,https://www.dianping.com/shop/G6bA9OKaF7bfXJnd,http://p1.meituan.net/merchantpic/52b141fa0d65063d2d435a5cdb426915359898.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k33XFtHevMdhx8LB,Oncloud Gelato(水游城店),50条评价,￥25,冰淇淋,大丰路,https://www.dianping.com/shop/k33XFtHevMdhx8LB,https://p0.meituan.net/biztone/bf1a7d8656f7b56e0230150c03aa2010201939.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
