店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
l7DNhULwEpdPMoJw,Stormscooper Gelato 意式冰淇淋,141条评价,￥28,冰淇淋,天河路/体育中心,https://www.dianping.com/shop/l7DNhULwEpdPMoJw,http://p0.meituan.net/merchant/dbabc97ec36c96b5aa604bcc7613189d220551.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k3YPuZBWqhHc3qJg,shego icecream(东山口店),655条评价,￥32,冰淇淋,东山口/农林下路,https://www.dianping.com/shop/k3YPuZBWqhHc3qJg,http://p1.meituan.net/biztone/8603a7f92efa965f1b822582be767634232927.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H53MFF45ZtButBUX,WonderCup Gelato 意式手工冰淇淋(永庆坊店),301条评价,￥25,冰淇淋,上下九商业区,https://www.dianping.com/shop/H53MFF45ZtButBUX,https://p0.meituan.net/biztone/7609c1d1fce0361fa6cadd7b625492e6134731.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k2SsrtxbIomdRjlL,Capri卡布芮·Gelato意大利冰淇淋,1261条评价,￥25,冰淇淋,北京路商业区,https://www.dianping.com/shop/k2SsrtxbIomdRjlL,https://p0.meituan.net/biztone/0743b4cd0e3765e4c1e61d150b70db3b278571.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G6LPH2sjHCbgPTw8,egggcellent舒芙芮,1829条评价,￥33,甜品,天河路/体育中心,https://www.dianping.com/shop/G6LPH2sjHCbgPTw8,http://p0.meituan.net/biztone/174852911_1686550196079.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G4YTnQV9hHBZr3pT,莲莲好·冰淇淋料理(西华路店),53条评价,￥24,冰淇淋,中山六路,https://www.dianping.com/shop/G4YTnQV9hHBZr3pT,https://p0.meituan.net/biztone/93a85835e0ad410f09a5badda091953e512371.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7lgiRplBkGDxXxq,顺记冰室(宝华路店),13973条评价,￥26,茶餐厅,上下九商业区,https://www.dianping.com/shop/l7lgiRplBkGDxXxq,http://p0.meituan.net/biztone/619615_1680665219397.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H6TJ19eYlX8hbblm,DQ·蛋糕·冰淇淋(天河城店),3056条评价,￥22,冰淇淋,天河路/体育中心,https://www.dianping.com/shop/H6TJ19eYlX8hbblm,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k9nIkxKz7YYCGMAp,西華雪糕行,68条评价,￥21,冰淇淋,中山六路,https://www.dianping.com/shop/k9nIkxKz7YYCGMAp,https://p0.meituan.net/biztone/37ac95bafeb4554d96e96a47ae01fce8120400.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G9rYSniwH8urnNwf,美谛淇意大利手工冰淇淋(广州凯德云尚店),42条评价,￥30,冰淇淋,白云绿地中心,https://www.dianping.com/shop/G9rYSniwH8urnNwf,https://p0.meituan.net/biztone/752e7257bad4cd26a64b49a81a15aa4192624.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
