店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
k9SL6CPmLP71kwlT,UNO优洛·GODITIGELATO冰淇淋(晶融汇店),1082条评价,￥36,冰淇淋,春熙路/太古里,https://www.dianping.com/shop/k9SL6CPmLP71kwlT,https://p0.meituan.net/biztone/044aaffabccb376b2ae6dde69a681cf297133.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
j1lkYCeZEc1aC15O,CREAM STORY意大利手工冰淇淋&甜品(成都万象城店),474条评价,￥49,冰淇淋,万年场/万象城,https://www.dianping.com/shop/j1lkYCeZEc1aC15O,https://img.meituan.net/content/dd451d5ad2f4a4f1ce672b6cc1bbaa04219904.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
Ha6wA4TkWRN9m1NA,DQ·蛋糕·冰淇淋(万象城店),1973条评价,￥26,冰淇淋,万年场/万象城,https://www.dianping.com/shop/Ha6wA4TkWRN9m1NA,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l2aIhYEgQv6Ihzw5,拿起Gelato,202条评价,￥12,冰淇淋,春熙路,https://www.dianping.com/shop/l2aIhYEgQv6Ihzw5,https://img.meituan.net/content/acca62ad32d540294f63b3ed1f5354ba68276.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k9nsgyUKwrLN3KPu,野人先生现做冰淇淋(成都IFS店),668条评价,￥30,冰淇淋,IFS/香槟广场,https://www.dianping.com/shop/k9nsgyUKwrLN3KPu,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H7B8FxViVLZL2qMs,Arbor Gelato山亭夏日,1185条评价,￥26,冰淇淋,宽窄巷子,https://www.dianping.com/shop/H7B8FxViVLZL2qMs,https://img.meituan.net/msmerchant/51641a3b213b1d13c007ad616409fb788139408.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l4S1TjD1MEeaPtOv,熊猫冰社(都江堰农大店),96条评价,￥11,冰淇淋,都江堰市,https://www.dianping.com/shop/l4S1TjD1MEeaPtOv,http://p0.meituan.net/merchant/6b04f9660042cbf1a7ccd007c67ea627270228.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H2zl9TNTuuXnrWf6,Vola Gelato意大利手工冰淇淋(双楠伊藤店),112条评价,￥30,冰淇淋,双楠,https://www.dianping.com/shop/H2zl9TNTuuXnrWf6,https://p0.meituan.net/biztone/d8b9695c09c63d826f2663de42800d4d411992.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l1HObTReYzG7Jp26,VENCHI闻绮(成都太古里店),1095条评价,￥68,甜品,春熙路,https://www.dianping.com/shop/l1HObTReYzG7Jp26,https://img.meituan.net/content/332f8bea39156ecc5936cda1c53063271772433.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
iB11K3zgh0qHzNkm,NewdaoFi·捷克卷·冰淇淋,580条评价,￥30,冰淇淋,春熙路/太古里,https://www.dianping.com/shop/iB11K3zgh0qHzNkm,https://p0.meituan.net/biztone/6f4892fd79ba7ac5331a7ec7de56f417279772.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H6mpfRQRRp1ePaKS,Venchi闻绮(成都万象城店),161条评价,￥70,甜品,双桥子/水碾河,https://www.dianping.com/shop/H6mpfRQRRp1ePaKS,https://img.meituan.net/content/3981d8306078e7c9d91116e8a138f9b0198977.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G7NmBDP0pb5XQYQf,iGELATO意大利手工冰淇淋(成都SKP店),990条评价,￥45,冰淇淋,孵化园,https://www.dianping.com/shop/G7NmBDP0pb5XQYQf,https://p0.meituan.net/biztone/b375171bfc8f24bb2fb89b76630613d3261785.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H28YknruXZaBO7AM,凯瑞莉Carrie.Ligelato(玉林芳华店),535条评价,￥25,冰淇淋,玉林/芳草街,https://www.dianping.com/shop/H28YknruXZaBO7AM,http://p1.meituan.net/merchant/b54d5ed88abb39e0c36b11811736d32671947.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k3mPFfhiLziNMCBC,青山乳品厂 SORA&KUMO(成都大悦城店),437条评价,￥23,冰淇淋,中粮大悦城,https://www.dianping.com/shop/k3mPFfhiLziNMCBC,https://img.meituan.net/content/9f9a1e0bfbe4f77ab53f4f18fbfd342e44791.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k4vXutw5L41EAX9Q,LELE LATO gelato&cake,70条评价,￥27,冰淇淋,双楠,https://www.dianping.com/shop/k4vXutw5L41EAX9Q,https://p0.meituan.net/poiugc/705d7aeeacda149ac0d2d94345a8b87a620340.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k9SL6CPmLP71kwlT,UNO优洛·GODITIGELATO冰淇淋(晶融汇店),1082条评价,￥36,冰淇淋,春熙路/太古里,https://www.dianping.com/shop/k9SL6CPmLP71kwlT,https://p0.meituan.net/biztone/044aaffabccb376b2ae6dde69a681cf297133.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
j1lkYCeZEc1aC15O,CREAM STORY意大利手工冰淇淋&甜品(成都万象城店),474条评价,￥49,冰淇淋,万年场/万象城,https://www.dianping.com/shop/j1lkYCeZEc1aC15O,https://img.meituan.net/content/dd451d5ad2f4a4f1ce672b6cc1bbaa04219904.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
