店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G1SCNsBW5wdxseYA,CREAM STORY意大利手工冰淇淋&甜品(杭州万象城店),614条评价,￥48,冰淇淋,万象城,https://www.dianping.com/shop/G1SCNsBW5wdxseYA,https://img.meituan.net/content/dd451d5ad2f4a4f1ce672b6cc1bbaa04219904.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k7BKDJYBXm8EQsoF,Haddock·gelato冰淇淋·巧克力(萧山万象汇店),183条评价,￥36,冰淇淋,万象汇,https://www.dianping.com/shop/k7BKDJYBXm8EQsoF,https://p0.meituan.net/biztone/50902233f2d36560dafd42f13c69cf9c130128.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H45EM0jDNMTqQm4H,iGELATO意大利手工冰淇淋(杭州大厦购物城店),60条评价,￥53,冰淇淋,杭州大厦,https://www.dianping.com/shop/H45EM0jDNMTqQm4H,https://p0.meituan.net/biztone/34c62f7cbc70694613bcfed57901fe82261179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l5yUx0j0xFfj8nEw,VENCHI 闻绮(杭州嘉里中心店),1779条评价,￥68,甜品,嘉里中心,https://www.dianping.com/shop/l5yUx0j0xFfj8nEw,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H7D5hUfuyLzBOxck,iceason爱茜茜里·意大利健康冰淇淋(骑龙巷店),205条评价,￥19,冰淇淋,千岛湖十字街,https://www.dianping.com/shop/H7D5hUfuyLzBOxck,http://p0.meituan.net/merchant/199df9ede770e6daf5711202292ab60a69367.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l8gPAU3isMjRsfPG,Otto Gelato·八桶冰店,78条评价,￥35,冰淇淋,城西银泰城,https://www.dianping.com/shop/l8gPAU3isMjRsfPG,http://p0.meituan.net/poipicadd/223d11f780ad3ac04c1c54d1d1b52008493134.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l7vwmWPDx1cq4Yg0,野人先生现做冰淇淋(杭州龙湖滨江天街店),1000条评价,￥30,冰淇淋,龙湖滨江天街,https://www.dianping.com/shop/l7vwmWPDx1cq4Yg0,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H1Rs2UCc7PbjjwTq,AGelato爱吉朵意大利手工冰淇淋(杭州城北万象城店),612条评价,￥40,冰淇淋,北部新城,https://www.dianping.com/shop/H1Rs2UCc7PbjjwTq,http://p0.meituan.net/merchant/d097bfc6cc134944b7b32bfcb12f6abf255690.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k4TQL8PzFyJCCLtn,Azabuya麻布屋(杭州万象城店),278条评价,￥35,冰淇淋,万象城,https://www.dianping.com/shop/k4TQL8PzFyJCCLtn,https://img.meituan.net/content/c599cbe05ba38319a0db5282f45e1e6d46567.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G348RQbc0kndn2Xm,扶芮FrescoGelato(湖滨银泰D区店),171条评价,￥31,冰淇淋,湖滨/解百商厦,https://www.dianping.com/shop/G348RQbc0kndn2Xm,https://img.meituan.net/content/64ce946eb54f43ae0cea0eb24a9a806d405660.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
