店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
H9uGfgbhprdOE1d5,DQ·蛋糕·冰淇淋(东西巷店),273条评价,￥23,冰淇淋,中心广场/两江四湖,https://www.dianping.com/shop/H9uGfgbhprdOE1d5,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
kaxycxdu2KPkYo2G,春禾面包·冰淇淋,75条评价,￥36,咖啡厅,西街周边/抗战路,https://www.dianping.com/shop/kaxycxdu2KPkYo2G,https://p0.meituan.net/biztone/bc065bfdd3d01936db859349ef2fe618359024.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k237cxMTKF5zRzLc,俄罗斯原装进口·白熊萨沙冰淇淋(阳朔店),11条评价,￥27,冰淇淋,益田西街,https://www.dianping.com/shop/k237cxMTKF5zRzLc,https://img.meituan.net/content/d904dc315869c7f70ac72e183aaa6cce1833419.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k3XycL6wqI04FazY,富贵刨冰(万象城店),176条评价,￥15,冰淇淋,桂林站,https://www.dianping.com/shop/k3XycL6wqI04FazY,http://p1.meituan.net/merchant/82e6429b54bf195f4ccb06c44ecdcf9a196623.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
jqs2APS9f8xfPfdu,美怡乐冰淇淋(空明西路店),23条评价,￥53,冰淇淋,七星区,https://www.dianping.com/shop/jqs2APS9f8xfPfdu,http://p0.meituan.net/merchant/06f9ff749418af4fd74574fd8985b03c328271.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G6zkcwgvK7srZ8bx,波比艾斯(桂林吾悦广场甜品站),30条评价,￥12,冰淇淋,吾悦广场,https://www.dianping.com/shop/G6zkcwgvK7srZ8bx,https://img.meituan.net/content/9b9b7a1d5bbd8e5839b0e497b413050e112599.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
GaTapVRH847Lpy73,冰淇淋批发,-,￥0,冰淇淋,万达广场,https://www.dianping.com/shop/GaTapVRH847Lpy73,http://p0.meituan.net/poipicadd/5989babc61a7de7e169a744d39d6a293167490.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
ihjQBgGsaaOAJPXA,冰淇淋总汇,-,￥0,冰淇淋,芦笛岩/桃花江景区,https://www.dianping.com/shop/ihjQBgGsaaOAJPXA,http://p0.meituan.net/poipicadd/b90522b118768d8c824a9a0f5aedab0f422666.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
l7E2NIQVl9eVIj8E,网红冰淇淋超市,3条评价,￥53,超市便利,万达广场,https://www.dianping.com/shop/l7E2NIQVl9eVIj8E,http://p1.meituan.net/dpmerchantpic/be43fd3a38b8b1f28d35a26e3b05b40f108563.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
EOvDBBvrtVm7Jas5,大桂冰冰淇淋批发(万福店),2条评价,￥0,冰淇淋,万福广场,https://www.dianping.com/shop/EOvDBBvrtVm7Jas5,http://p0.meituan.net/biztone/43f720370aeeb4959af99fdec15fa6cc64479.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
