店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
H3FQBcuQge7lTMFG,Pat me Pet me Gelato拍拍宇宙甜品店,371条评价,￥25,冰淇淋,司门口,https://www.dianping.com/shop/H3FQBcuQge7lTMFG,https://p0.meituan.net/biztone/a5e387d5e9bb02ad0991817d881f960d77406.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
H4lSs5mEotm8hYQO,DQ·蛋糕·冰淇淋(永旺梦乐城店),1730条评价,￥23,冰淇淋,金银湖,https://www.dianping.com/shop/H4lSs5mEotm8hYQO,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G5VDMbvO5d0PRYNV,Vola Gelato意大利手工冰淇淋(武汉SKP店),118条评价,￥29,冰淇淋,楚河汉街,https://www.dianping.com/shop/G5VDMbvO5d0PRYNV,https://p0.meituan.net/biztone/eb9a37ccff7efeb6a9c65d2851cb9c17354752.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k2Iazm6TxyYW85fT,VENCHI 闻绮(武汉天地店),1970条评价,￥74,甜品,解放公园/武汉天地,https://www.dianping.com/shop/k2Iazm6TxyYW85fT,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
H8hNn1MDO04As5FO,Emack&Bolio's伊多乐堆叠冰淇淋(武汉恒隆店),236条评价,￥55,冰淇淋,武展商圈,https://www.dianping.com/shop/H8hNn1MDO04As5FO,http://p0.meituan.net/biztone/1998629811_1654361575672.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k7xH7xw6wt8ZjgC6,Chaos Chimney烟囱卷冰淇淋(汉口K11餐车店),340条评价,￥29,冰淇淋,宝丰,https://www.dianping.com/shop/k7xH7xw6wt8ZjgC6,http://p1.meituan.net/merchant/ccda6c63c666c1cf3c8c38ae5e3df9da350439.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k1PaDIYW5QnwC6GO,O'myGelato手作冰淇淋店,17条评价,￥32,冰淇淋,司门口,https://www.dianping.com/shop/k1PaDIYW5QnwC6GO,https://p0.meituan.net/biztone/66fdd88661fd9ab48de27d538f6eb15a295860.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l6nZYKBoIgvMEJx6,GOoOD意式手作冰淇淋&OK贝果(江汉路店),590条评价,￥26,冰淇淋,江汉路/南京路,https://www.dianping.com/shop/l6nZYKBoIgvMEJx6,https://p0.meituan.net/biztone/57aa28692ad8ffc2053d520731d4ada6169212.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4U4xSvUq8RZVHOV,Venchi 闻绮(武汉万象城店),997条评价,￥69,甜品,港澳台风情街,https://www.dianping.com/shop/l4U4xSvUq8RZVHOV,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
k6mwBqsITZ7GG4cW,The ConnieHe Parfait&Gelato Edition(花园道店),2166条评价,￥64,甜品,西北湖,https://www.dianping.com/shop/k6mwBqsITZ7GG4cW,https://img.meituan.net/content/2bbf0a7dac04d6a5fde16f4043bf9e62281873.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G2tyaRPYbqOqDNiV,iGELATO Bar(武汉SKP店),269条评价,￥43,冰淇淋,楚河汉街,https://www.dianping.com/shop/G2tyaRPYbqOqDNiV,https://p0.meituan.net/biztone/ae9b537b099642ab395f9545789efff3234420.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H2lTEqnXgRBDqJqH,九十葉·抹茶专门店(武汉·武商里店),633条评价,￥44,冰淇淋,武展商圈,https://www.dianping.com/shop/H2lTEqnXgRBDqJqH,https://p0.meituan.net/biztone/fe6c6777161d099378fbd5568d26537e54984.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
FTGmWv5gFutai7yc,Hothot gelato好好冰淇淋,95条评价,￥30,冰淇淋,客运港/江滩,https://www.dianping.com/shop/FTGmWv5gFutai7yc,https://p0.meituan.net/biztone/807e791892da350ec0f359c439d53b97343113.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k7HxFLdfs6MBzcCz,野人先生现做冰淇淋(武汉摩尔城店),213条评价,￥26,冰淇淋,王家湾,https://www.dianping.com/shop/k7HxFLdfs6MBzcCz,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l7VfaDsTTi08RiSa,GOoOD gelato·意式手作冰淇淋(万象城店),283条评价,￥24,冰淇淋,徐东大街,https://www.dianping.com/shop/l7VfaDsTTi08RiSa,https://p0.meituan.net/biztone/57aa28692ad8ffc2053d520731d4ada6169212.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H3FQBcuQge7lTMFG,Pat me Pet me Gelato拍拍宇宙甜品店,371条评价,￥25,冰淇淋,司门口,https://www.dianping.com/shop/H3FQBcuQge7lTMFG,https://p0.meituan.net/biztone/a5e387d5e9bb02ad0991817d881f960d77406.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
H4lSs5mEotm8hYQO,DQ·蛋糕·冰淇淋(永旺梦乐城店),1730条评价,￥23,冰淇淋,金银湖,https://www.dianping.com/shop/H4lSs5mEotm8hYQO,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G5VDMbvO5d0PRYNV,Vola Gelato意大利手工冰淇淋(武汉SKP店),118条评价,￥29,冰淇淋,楚河汉街,https://www.dianping.com/shop/G5VDMbvO5d0PRYNV,https://p0.meituan.net/biztone/eb9a37ccff7efeb6a9c65d2851cb9c17354752.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k2Iazm6TxyYW85fT,VENCHI 闻绮(武汉天地店),1970条评价,￥74,甜品,解放公园/武汉天地,https://www.dianping.com/shop/k2Iazm6TxyYW85fT,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
H8hNn1MDO04As5FO,Emack&Bolio's伊多乐堆叠冰淇淋(武汉恒隆店),236条评价,￥55,冰淇淋,武展商圈,https://www.dianping.com/shop/H8hNn1MDO04As5FO,http://p0.meituan.net/biztone/1998629811_1654361575672.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k7xH7xw6wt8ZjgC6,Chaos Chimney烟囱卷冰淇淋(汉口K11餐车店),340条评价,￥29,冰淇淋,宝丰,https://www.dianping.com/shop/k7xH7xw6wt8ZjgC6,http://p1.meituan.net/merchant/ccda6c63c666c1cf3c8c38ae5e3df9da350439.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k1PaDIYW5QnwC6GO,O'myGelato手作冰淇淋店,17条评价,￥32,冰淇淋,司门口,https://www.dianping.com/shop/k1PaDIYW5QnwC6GO,https://p0.meituan.net/biztone/66fdd88661fd9ab48de27d538f6eb15a295860.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l6nZYKBoIgvMEJx6,GOoOD意式手作冰淇淋&OK贝果(江汉路店),590条评价,￥26,冰淇淋,江汉路/南京路,https://www.dianping.com/shop/l6nZYKBoIgvMEJx6,https://p0.meituan.net/biztone/57aa28692ad8ffc2053d520731d4ada6169212.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4U4xSvUq8RZVHOV,Venchi 闻绮(武汉万象城店),997条评价,￥69,甜品,港澳台风情街,https://www.dianping.com/shop/l4U4xSvUq8RZVHOV,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
k6mwBqsITZ7GG4cW,The ConnieHe Parfait&Gelato Edition(花园道店),2166条评价,￥64,甜品,西北湖,https://www.dianping.com/shop/k6mwBqsITZ7GG4cW,https://img.meituan.net/content/2bbf0a7dac04d6a5fde16f4043bf9e62281873.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G2tyaRPYbqOqDNiV,iGELATO Bar(武汉SKP店),269条评价,￥43,冰淇淋,楚河汉街,https://www.dianping.com/shop/G2tyaRPYbqOqDNiV,https://p0.meituan.net/biztone/ae9b537b099642ab395f9545789efff3234420.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H2lTEqnXgRBDqJqH,九十葉·抹茶专门店(武汉·武商里店),633条评价,￥44,冰淇淋,武展商圈,https://www.dianping.com/shop/H2lTEqnXgRBDqJqH,https://p0.meituan.net/biztone/fe6c6777161d099378fbd5568d26537e54984.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
FTGmWv5gFutai7yc,Hothot gelato好好冰淇淋,95条评价,￥30,冰淇淋,客运港/江滩,https://www.dianping.com/shop/FTGmWv5gFutai7yc,https://p0.meituan.net/biztone/807e791892da350ec0f359c439d53b97343113.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k7HxFLdfs6MBzcCz,野人先生现做冰淇淋(武汉摩尔城店),213条评价,￥26,冰淇淋,王家湾,https://www.dianping.com/shop/k7HxFLdfs6MBzcCz,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
