店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G8sqwbEyO5qtux24,EL PATIO GELATO冰淇淋花园意大利手工冰淇淋(沈河店),146条评价,￥28,冰淇淋,南市/马路湾,https://www.dianping.com/shop/G8sqwbEyO5qtux24,http://p1.meituan.net/merchant/149bc23e523afb50fa2800bfd7e5a743270072.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k4ahZAHv6onv3PuY,BLUEBUBBLE(总店),2322条评价,￥27,茶饮果汁,西塔/北市场,https://www.dianping.com/shop/k4ahZAHv6onv3PuY,http://p0.meituan.net/biztone/1753501402_1666231883622.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G4L4f9OgGMY85ua2,99% gelato,113条评价,￥27,冰淇淋,中街/故宫,https://www.dianping.com/shop/G4L4f9OgGMY85ua2,http://p0.meituan.net/merchant/4e3baf0e96ac24a0057fa4ed28794a2494610.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k5Z2r71mVFe1N6L8,九十葉·抹茶专门店(沈阳·万象城店),754条评价,￥44,冰淇淋,青年大街,https://www.dianping.com/shop/k5Z2r71mVFe1N6L8,https://img.meituan.net/content/cf6481897d122012ca9436128c84f19f219298.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H8p2Zsj8WUTfmqqs,VENCHI 闻绮(沈阳万象城店),1381条评价,￥70,甜品,青年大街,https://www.dianping.com/shop/H8p2Zsj8WUTfmqqs,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l82xbWBaUUgBSanO,DQ·蛋糕·冰淇淋(大悦城店),2875条评价,￥18,冰淇淋,东中街,https://www.dianping.com/shop/l82xbWBaUUgBSanO,https://img.meituan.net/content/5da0ad18e45d732653c64ff4c578cf33164900.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
GaUWpoHpbjJ01tIz,野人先生现做冰淇淋(沈阳皇姑万象汇店),261条评价,￥29,冰淇淋,鸭绿江街,https://www.dianping.com/shop/GaUWpoHpbjJ01tIz,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l1i59Qyr25AKzIKO,意大利手工冰淇淋gelato,16条评价,￥31,冰淇淋,东中街,https://www.dianping.com/shop/l1i59Qyr25AKzIKO,http://p0.meituan.net/poipicadd/65f107b9e0b1e0c28e163626a582faa1411925.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k3gPi7c8kU7MZssK,egg² lab 甜品店,225条评价,￥54,甜品,南市/马路湾,https://www.dianping.com/shop/k3gPi7c8kU7MZssK,https://p0.meituan.net/biztone/a17f5b9a1602d2a2402b4a75e3c64ef5689112.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,5.0
k7KvZknUDcA8YnBL,野兽学家(太原街万达店),172条评价,￥20,冰淇淋,太原街,https://www.dianping.com/shop/k7KvZknUDcA8YnBL,https://p0.meituan.net/biztone/b9969c494eb80438e6937b2a0104143475263.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
