店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
k6d19ej7dihvJ2id,CREAM STORY意大利手工冰淇淋&甜品(万象天地店),754条评价,￥49,冰淇淋,科技园,https://www.dianping.com/shop/k6d19ej7dihvJ2id,https://img.meituan.net/content/dd451d5ad2f4a4f1ce672b6cc1bbaa04219904.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G8a01k2AG6pp63Kd,Pinvita Gelato(深圳万象天地店),3条评价,￥39,冰淇淋,科技园,https://www.dianping.com/shop/G8a01k2AG6pp63Kd,http://p0.meituan.net/poipicadd/352f27f0f633f226b1a433f75ab826c7473455.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G6nJrLu0zlptdqNe,乐芙艾诗牛乳冰淇淋(华强广场店),36条评价,￥14,冰淇淋,福永,https://www.dianping.com/shop/G6nJrLu0zlptdqNe,https://img.meituan.net/content/bfac739b9939cf57291c56b253f75ad9129506.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
GaAaxDXgy7wuQAtC,米糯糯·minono·大福冰淇淋(罗湖万象城店),1390条评价,￥32,冰淇淋,万象城,https://www.dianping.com/shop/GaAaxDXgy7wuQAtC,https://p0.meituan.net/biztone/bd9d0cf7a18ce262a3538cd2b3d13878230271.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H5ONkgT2KDVHQRfH,CREAM STORY意大利手工冰淇淋&甜品(万象前海店),321条评价,￥40,冰淇淋,前海,https://www.dianping.com/shop/H5ONkgT2KDVHQRfH,https://img.meituan.net/content/dd451d5ad2f4a4f1ce672b6cc1bbaa04219904.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
H1vNesRTkwMrjToM,CREAM STORY意大利手工冰淇淋&甜品(宝安壹方城店),362条评价,￥44,冰淇淋,宝安中心区,https://www.dianping.com/shop/H1vNesRTkwMrjToM,https://img.meituan.net/content/dd451d5ad2f4a4f1ce672b6cc1bbaa04219904.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G4ERKhQL0N47LTTa,iGELATO(深圳店),368条评价,￥40,冰淇淋,福田中心-岗厦,https://www.dianping.com/shop/G4ERKhQL0N47LTTa,https://p0.meituan.net/biztone/bfbc5966a99764088c3a2e11e88a2ec6305048.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G8cbMvDbxfAWtkSS,野人先生现做冰淇淋(深圳坂田万科店),776条评价,￥28,冰淇淋,坂田/杨美,https://www.dianping.com/shop/G8cbMvDbxfAWtkSS,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k20PTHQXNyHMujVt,ami ami,29条评价,￥23,冰淇淋,黄贝岭,https://www.dianping.com/shop/k20PTHQXNyHMujVt,https://p0.meituan.net/biztone/934bed6a312ce945276691ca8bd725cc385082.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G4GZEQ4rwtmbi7fM,CREAM STORY意大利手工冰淇淋&甜品(意库店),1372条评价,￥50,冰淇淋,蛇口,https://www.dianping.com/shop/G4GZEQ4rwtmbi7fM,https://img.meituan.net/content/dd451d5ad2f4a4f1ce672b6cc1bbaa04219904.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
