店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
k7nA2fWBjcDnVR8X,Ami's Gelato爱米意大利手工冰淇淋,33条评价,￥22,冰淇淋,古城/中闽,https://www.dianping.com/shop/k7nA2fWBjcDnVR8X,http://p0.meituan.net/merchant/75a82fef55485c30b579172ae8d3202b408073.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
kaOYw1r9AcIbpbcL,冰淇淋屋,-,￥0,超市便利,漳浦县,https://www.dianping.com/shop/kaOYw1r9AcIbpbcL,https://p0.meituan.net/dpmerchantpic/ed4cfad5e41de693759dc4d3d6ab1ab8178369.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
G2XzdH8NjIjsy9y7,登第冰淇淋冻品批发(鸿源紫云至尊店),2条评价,￥0,冰淇淋,美一城广场,https://www.dianping.com/shop/G2XzdH8NjIjsy9y7,http://p0.meituan.net/merchant/b5b8b3b1b620f4eb4b2660cfb2b25aef388758.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G35hQORtaAKSVXjZ,康怡冰淇淋(江滨花园店),1条评价,￥0,冰淇淋,漳浦县,https://www.dianping.com/shop/G35hQORtaAKSVXjZ,https://p0.meituan.net/biztone/a50347607d37132b7906068395b66e92198277.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k7kLBez0mAOp5xJY,爱尚手工坊意式冰淇淋,27条评价,￥20,冰淇淋,古城/中闽,https://www.dianping.com/shop/k7kLBez0mAOp5xJY,https://p0.meituan.net/poiugc/021b631ff26cd0ed4170d6bdfdeab1801141356.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l3tX8Y4kLRSaakzV,吸客乌龙茶冰激凌(漳州古城店),35条评价,￥15,冰淇淋,古城/中闽,https://www.dianping.com/shop/l3tX8Y4kLRSaakzV,http://p0.meituan.net/poipicadd/4591151a846ce8e5b2f0d35a37ff84c5953527.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l5J5Zr27pVxroKGI,前楼冰淇淋,-,￥0,冰淇淋,东山县,https://www.dianping.com/shop/l5J5Zr27pVxroKGI,http://p0.meituan.net/merchant/ceae2b439f29ed086d27ea474fb008b431308.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
hOHgkVbkUVuaWqoC,和路雪冰淇淋店(金峰店),1条评价,￥19,冰淇淋,芗城区,https://www.dianping.com/shop/hOHgkVbkUVuaWqoC,http://p1.meituan.net/merchant/fd678101ea42c354261802aeb2b94a22363067.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.0
jmfpLYfMPbJlDpCP,阿海冰淇淋,-,￥0,冰淇淋,长泰区,https://www.dianping.com/shop/jmfpLYfMPbJlDpCP,http://p0.meituan.net/poipicadd/ca2412576c60c3a6b0dabf2b82d40e3d138478.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
H3t1apGiHJyOSEN7,煌庭酸奶冰淇淋直营店,-,￥0,冰淇淋,东山县,https://www.dianping.com/shop/H3t1apGiHJyOSEN7,http://p1.meituan.net/poipicadd/94de61d65e64643d603af1ce7f55fee6392384.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
l1EITFHxQ0uaxX5m,波比艾斯(漳州吾悦店),53条评价,￥13,冰淇淋,吾悦广场,https://www.dianping.com/shop/l1EITFHxQ0uaxX5m,https://img.meituan.net/content/9b9b7a1d5bbd8e5839b0e497b413050e112599.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l8u8eOyAozR07T16,波比艾斯(漳州碧湖万达店),16条评价,￥20,冰淇淋,万达广场,https://www.dianping.com/shop/l8u8eOyAozR07T16,https://img.meituan.net/content/9b9b7a1d5bbd8e5839b0e497b413050e112599.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l9z3IpQ8PY5UMR9U,Hi吉瑞进口冰淇淋,1条评价,￥22,冰淇淋,平和县中心城区,https://www.dianping.com/shop/l9z3IpQ8PY5UMR9U,http://p0.meituan.net/poipicadd/8f81152c4acaf8703a19340071a16cc456524.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.0
H3dO9asj8SL3emKi,哈丝冰淇淋蛋糕,14条评价,￥26,面包烘焙,石码,https://www.dianping.com/shop/H3dO9asj8SL3emKi,https://p0.meituan.net/biztone/3fef8797a77bbf76f82a12b635958268337670.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k5AOGxsbWpiOGZ8V,KUMO KUMO(漳州碧湖万达店),452条评价,￥32,甜品,万达广场,https://www.dianping.com/shop/k5AOGxsbWpiOGZ8V,https://img.meituan.net/content/f623b0c40851651151a55b8413b74270168068.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k7nA2fWBjcDnVR8X,Ami's Gelato爱米意大利手工冰淇淋,33条评价,￥22,冰淇淋,古城/中闽,https://www.dianping.com/shop/k7nA2fWBjcDnVR8X,http://p0.meituan.net/merchant/75a82fef55485c30b579172ae8d3202b408073.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
kaOYw1r9AcIbpbcL,冰淇淋屋,-,￥0,超市便利,漳浦县,https://www.dianping.com/shop/kaOYw1r9AcIbpbcL,https://p0.meituan.net/dpmerchantpic/ed4cfad5e41de693759dc4d3d6ab1ab8178369.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,0.0
G2XzdH8NjIjsy9y7,登第冰淇淋冻品批发(鸿源紫云至尊店),2条评价,￥0,冰淇淋,美一城广场,https://www.dianping.com/shop/G2XzdH8NjIjsy9y7,http://p0.meituan.net/merchant/b5b8b3b1b620f4eb4b2660cfb2b25aef388758.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G35hQORtaAKSVXjZ,康怡冰淇淋(江滨花园店),1条评价,￥0,冰淇淋,漳浦县,https://www.dianping.com/shop/G35hQORtaAKSVXjZ,https://p0.meituan.net/biztone/a50347607d37132b7906068395b66e92198277.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k7kLBez0mAOp5xJY,爱尚手工坊意式冰淇淋,27条评价,￥20,冰淇淋,古城/中闽,https://www.dianping.com/shop/k7kLBez0mAOp5xJY,https://p0.meituan.net/poiugc/021b631ff26cd0ed4170d6bdfdeab1801141356.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l3tX8Y4kLRSaakzV,吸客乌龙茶冰激凌(漳州古城店),35条评价,￥15,冰淇淋,古城/中闽,https://www.dianping.com/shop/l3tX8Y4kLRSaakzV,http://p0.meituan.net/poipicadd/4591151a846ce8e5b2f0d35a37ff84c5953527.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
