店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G8VpR51K5ixaKyjq,芭斯罗缤冰激凌(万象城店),162条评价,￥26,冰淇淋,万象城,https://www.dianping.com/shop/G8VpR51K5ixaKyjq,http://p0.meituan.net/merchant/3a7b26624cd3cc82814a55ccc167a91e214228.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G5bDSDP4W9W6r9MO,DQ·蛋糕·冰淇淋(石家庄万象天成店),1366条评价,￥20,冰淇淋,万象天成,https://www.dianping.com/shop/G5bDSDP4W9W6r9MO,https://img.meituan.net/content/49457f4ddf72592a0409cda62a7ce7b8165675.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G6ht8LGRQ6Uciak5,BLOMMOR BLOMMAR,115条评价,￥24,冰淇淋,省博物馆,https://www.dianping.com/shop/G6ht8LGRQ6Uciak5,https://p0.meituan.net/poiugc/25291fd666c9ebdd63873a15bdf2866587124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k5Aig9Peseq6SWib,酥山冰酪(勒泰中心店),35条评价,￥17,冰淇淋,勒泰中心,https://www.dianping.com/shop/k5Aig9Peseq6SWib,https://p0.meituan.net/biztone/c158af4a77bf9431247dd1eb4a230234110771.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H7xszqbzISWpXwcl,九十葉·抹茶专门店(石家庄·万象城店),298条评价,￥45,冰淇淋,万象城,https://www.dianping.com/shop/H7xszqbzISWpXwcl,https://img.meituan.net/content/b3e7abd59f0aa155ed52106274bb3a4650302.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
laXngGSLiBIczcEZ,罗曼林冰淇淋(裕华万达3号门店),28条评价,￥11,冰淇淋,万达广场,https://www.dianping.com/shop/laXngGSLiBIczcEZ,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H7cBMJy0f6N5jytS,DQ·蛋糕·冰淇淋(勒泰店),1296条评价,￥18,冰淇淋,勒泰中心,https://www.dianping.com/shop/H7cBMJy0f6N5jytS,https://img.meituan.net/content/49457f4ddf72592a0409cda62a7ce7b8165675.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l6HUVONabsIpY6Hj,罗曼林冰淇淋(天河方圆荟购物中心店),22条评价,￥14,冰淇淋,新华区,https://www.dianping.com/shop/l6HUVONabsIpY6Hj,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l4ADd892x1NmMuT1,八喜冰淇淋蛋糕(裕华万达店),869条评价,￥126,面包烘焙,裕华区,https://www.dianping.com/shop/l4ADd892x1NmMuT1,https://p0.meituan.net/biztone/32fafb9779a854a80a6c718138da5019382400.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
Epi8OWTKq7nxST36,呱呱叫冰淇淋(谈固西街店),89条评价,￥11,冰淇淋,国际城,https://www.dianping.com/shop/Epi8OWTKq7nxST36,http://qcloud.dpfile.com/pc/06r4fJgwSHuOSD24MG7Dys9J7HBNzGpRY-hxsD-kk4pxExsHnxy2lhRMVElMNRC5bKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
H6H42oNG6Sj9SuVR,罗曼林冰淇淋(石家庄益友店),21条评价,￥9,冰淇淋,益友百货/西里,https://www.dianping.com/shop/H6H42oNG6Sj9SuVR,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
HaZcwjshVw2JGRBX,罗曼林冰淇淋&茶(小商品店),34条评价,￥10,冰淇淋,正定火车站,https://www.dianping.com/shop/HaZcwjshVw2JGRBX,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H7T7yz0EjASdspbP,书馨(万象城店),16条评价,￥27,冰淇淋,万象城,https://www.dianping.com/shop/H7T7yz0EjASdspbP,https://p0.meituan.net/biztone/9fbd5ca4fe94cf999694fd468f777a8a138967.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
G33kYSzbHikJNifR,罗曼林冰淇淋(长安万达店),71条评价,￥11,冰淇淋,中山东路,https://www.dianping.com/shop/G33kYSzbHikJNifR,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
