店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G6qubcTOyKYYVw1C,冰淇淋博物馆 MUSEO Gelateria(白塔东路店),1666条评价,￥42,冰淇淋,平江路,https://www.dianping.com/shop/G6qubcTOyKYYVw1C,https://p0.meituan.net/biztone/d4396841634b8d0066899d637963f59a117728.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k9V3uHgJ1R7pN0h3,Haddock·gelato冰淇淋·巧克力(诚品店),1046条评价,￥34,冰淇淋,博览中心,https://www.dianping.com/shop/k9V3uHgJ1R7pN0h3,http://p0.meituan.net/biztone/855969105_1658217608850.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l9EVF8Erm9TfbOnQ,LIETO GELATO(龙湖苏州相城天街店),19条评价,￥25,冰淇淋,陆慕元和,https://www.dianping.com/shop/l9EVF8Erm9TfbOnQ,https://p0.meituan.net/biztone/5e9a607b432ae70993c713b516c3e33235823.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
l9SNPA8SBboQuV5J,Très TenTanT太当当(相城龙湖店),99条评价,￥28,冰淇淋,陆慕元和,https://www.dianping.com/shop/l9SNPA8SBboQuV5J,https://p0.meituan.net/biztone/df0c7e2ab78c62ffb443570c2b1535b374894.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k4cPTgesBnBliZL2,红楼·CENE Gelato(十全街分店),1111条评价,￥40,冰淇淋,十全街/凤凰街,https://www.dianping.com/shop/k4cPTgesBnBliZL2,http://p0.meituan.net/merchant/119d61d81f4ee0a4d61224f2586d2c30119053.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G1wn9zLQUVbs4t7U,VENCHI 闻绮(苏州比斯特店),2934条评价,￥68,甜品,唯亭,https://www.dianping.com/shop/G1wn9zLQUVbs4t7U,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H4TVfhrlDfjGGNox,茉香枕河·茉莉花冰淇淋(平江路一店),1007条评价,￥27,茶饮果汁,平江路,https://www.dianping.com/shop/H4TVfhrlDfjGGNox,http://p0.meituan.net/merchant/5cb64d693ac138f9dbd292009f98e157161362.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k5zZ1IkDgLfFN2ph,Pimomo派桃(苏州首店),496条评价,￥19,冰淇淋,龙湖狮山天街商场,https://www.dianping.com/shop/k5zZ1IkDgLfFN2ph,https://p0.meituan.net/biztone/e053df1a164f5932a4ad3def3720287c54274.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l8OVrBQBoDEVCQ19,DQ·蛋糕·冰淇淋(永旺梦乐城店),293条评价,￥22,冰淇淋,东南开发区,https://www.dianping.com/shop/l8OVrBQBoDEVCQ19,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k7v9v7fLtePu8cC4,浮山茉香·绣球花冰淇淋(山塘街店),688条评价,￥29,冰淇淋,山塘街,https://www.dianping.com/shop/k7v9v7fLtePu8cC4,https://p0.meituan.net/biztone/92c7649baba652fa4804a935495606e8212942.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
iv3sEKyW2qWmTK7C,fruttini·gelato意大利真水果冰淇淋(观前街美罗百货...,394条评价,￥96,冰淇淋,观前街地区,https://www.dianping.com/shop/iv3sEKyW2qWmTK7C,http://p0.meituan.net/content/303cac3b50f544ede1c095a181633f9f379001.gif%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G97a7ylbj1X4UYVp,波比艾斯(苏州相山龙湖天街店),79条评价,￥18,冰淇淋,中翔/家乐福,https://www.dianping.com/shop/G97a7ylbj1X4UYVp,https://img.meituan.net/content/9b9b7a1d5bbd8e5839b0e497b413050e112599.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H1guqkerfC7feU0q,浮山茉香(观前街店),473条评价,￥20,冰淇淋,观前街地区,https://www.dianping.com/shop/H1guqkerfC7feU0q,https://img.meituan.net/content/56a7ce1976aec28acc425813a570a578901190.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G4Q7IJ90MNtn2vno,Doli gelato意大利手工冰淇淋(万象汇店),69条评价,￥26,冰淇淋,万象汇,https://www.dianping.com/shop/G4Q7IJ90MNtn2vno,https://img.meituan.net/content/59c2b82b093a6d005c0aeb2c86d3d6ea31565.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l1gKVRhjJL8Cab6E,九十葉·抹茶专门店(苏州·十全街店),1601条评价,￥43,冰淇淋,十全街/凤凰街,https://www.dianping.com/shop/l1gKVRhjJL8Cab6E,http://p0.meituan.net/biztone/1181610906_1688437556366.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G6qubcTOyKYYVw1C,冰淇淋博物馆 MUSEO Gelateria(白塔东路店),1666条评价,￥42,冰淇淋,平江路,https://www.dianping.com/shop/G6qubcTOyKYYVw1C,https://p0.meituan.net/biztone/d4396841634b8d0066899d637963f59a117728.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
