店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
Gay5bMGS5Hv6F18X,循季鲜果冰淇淋(中贸店),58条评价,￥25,冰淇淋,小雁塔/南稍门,https://www.dianping.com/shop/Gay5bMGS5Hv6F18X,https://p0.meituan.net/biztone/ffa9c178684aa33bdf481e669a87dfbc361482.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
labTAK4PpvJp5S6R,Vola Gelato意大利手工冰淇淋(西安SKP店),267条评价,￥32,冰淇淋,小雁塔/南稍门,https://www.dianping.com/shop/labTAK4PpvJp5S6R,https://p0.meituan.net/biztone/d8b9695c09c63d826f2663de42800d4d411992.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l8qbUQaSQNjSLD2i,陕拾叁(北院门创始店),15982条评价,￥31,面包烘焙,大皮院/西羊市,https://www.dianping.com/shop/l8qbUQaSQNjSLD2i,https://img.meituan.net/content/ab5e04e18d4200008bce7f46618e5ad953393.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H90lR95AjNbqSAvb,VORO手工冰淇淋(momopark店),663条评价,￥26,冰淇淋,吉祥村,https://www.dianping.com/shop/H90lR95AjNbqSAvb,https://img.meituan.net/content/e2a5d6b7521d5bae65b01cc97dae800a39867.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
j4PA8cXbfLMQWzJb,DQ·蛋糕·冰淇淋(西安赛格购物中心店),152条评价,￥25,冰淇淋,小寨,https://www.dianping.com/shop/j4PA8cXbfLMQWzJb,https://p0.meituan.net/biztone/f029ea04b97a3e9664b9b9dd51e7716051179.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l3wZ37lGvaXRtmf4,VENCHI 闻绮(西安大悦城店),2162条评价,￥71,甜品,大雁塔,https://www.dianping.com/shop/l3wZ37lGvaXRtmf4,https://img.meituan.net/content/e0b634cf810021b17c0cd12a17d767171876243.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l8tkJ83SQty5h6jl,青初·QINGCHU(MOMOPARK店),1028条评价,￥15,茶饮果汁,小寨,https://www.dianping.com/shop/l8tkJ83SQty5h6jl,http://p0.meituan.net/merchant/20b7c37a69dea9dff0546e82cc772626508758.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k7e9ajgnu4enVdCp,Vola Gelato意大利手工冰淇淋(西安荟聚店),323条评价,￥28,冰淇淋,紫薇田园都市,https://www.dianping.com/shop/k7e9ajgnu4enVdCp,https://p0.meituan.net/biztone/d8b9695c09c63d826f2663de42800d4d411992.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k1iJMBtcKWX3c0yG,巧可梦巧克力·Gelato冰淇淋(西安钟楼店),233条评价,￥29,甜品,钟楼/鼓楼,https://www.dianping.com/shop/k1iJMBtcKWX3c0yG,https://img.meituan.net/content/4457407df3061d3ad6de0937a35fe63681845.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k6owi3WyGahiNRIh,VORO沃芮·意大利手工冰淇淋(四海唐人街店),150条评价,￥26,冰淇淋,大明宫万达,https://www.dianping.com/shop/k6owi3WyGahiNRIh,https://img.meituan.net/content/0215ca930773c1ddc3407f4d3431f4a938028.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
