店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G8ZuHPxbzRB9DD3E,UNO优洛·GODITIGELATO(龙湖时代天街店),970条评价,￥37,冰淇淋,龙湖时代天街,https://www.dianping.com/shop/G8ZuHPxbzRB9DD3E,https://p0.meituan.net/biztone/044aaffabccb376b2ae6dde69a681cf297133.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l80cj0zvpABFFg3M,还山 GELATO冰淇淋(时代天街C馆店),1630条评价,￥27,冰淇淋,大坪,https://www.dianping.com/shop/l80cj0zvpABFFg3M,https://p0.meituan.net/biztone/7ad554228cd748e21def8eadff7a3962419608.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k7bKn3syva4KT6Kf,iGELATO 意大利手工冰淇淋(万象城店),693条评价,￥40,冰淇淋,谢家湾,https://www.dianping.com/shop/k7bKn3syva4KT6Kf,https://p0.meituan.net/biztone/b375171bfc8f24bb2fb89b76630613d3261785.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G7Y5hBcUmSPEbos5,还山 GELATO冰淇淋(万象城快闪店),16条评价,￥28,冰淇淋,谢家湾,https://www.dianping.com/shop/G7Y5hBcUmSPEbos5,https://p0.meituan.net/biztone/7ad554228cd748e21def8eadff7a3962419608.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
iQwvaKocxkk4fQwe,Minta Gelato(二厂店),1600条评价,￥27,冰淇淋,鹅岭二厂,https://www.dianping.com/shop/iQwvaKocxkk4fQwe,https://img.meituan.net/msmerchant/b77b0c54861810498d7cad3088b8ea28397651.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H6CUuOuxZCNcGVAn,Vola Gelato意大利手工冰淇淋(国泰广场店),113条评价,￥28,冰淇淋,解放碑,https://www.dianping.com/shop/H6CUuOuxZCNcGVAn,https://p0.meituan.net/biztone/d8b9695c09c63d826f2663de42800d4d411992.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G6mrifTlwijYP9gr,WU.白白 Gelato冰淇淋(万象城店),168条评价,￥27,冰淇淋,谢家湾,https://www.dianping.com/shop/G6mrifTlwijYP9gr,https://img.meituan.net/content/cbab96b5b25ccb42acdc1a97a0bab8a1159291.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G6Jbl6wLI7hbkwJS,Doli gelato意大利手工冰淇淋(重庆店),144条评价,￥33,冰淇淋,观音桥,https://www.dianping.com/shop/G6Jbl6wLI7hbkwJS,http://p0.meituan.net/biztone/1191689351_1695383896608.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G1MpIILiQKzQB0je,Vola Gelato意大利手工冰淇淋(光环店),258条评价,￥28,冰淇淋,北部新区,https://www.dianping.com/shop/G1MpIILiQKzQB0je,https://p0.meituan.net/biztone/d8b9695c09c63d826f2663de42800d4d411992.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
l5g2oDx6MGnUWIaE,Vola Gelato意大利手工冰淇淋(观音桥店),88条评价,￥28,冰淇淋,观音桥,https://www.dianping.com/shop/l5g2oDx6MGnUWIaE,https://p0.meituan.net/biztone/d8b9695c09c63d826f2663de42800d4d411992.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H4nyF94aGnEEL4zp,瑞士莫凡彼冰淇淋Movenpick(重庆IFS旗舰店),118条评价,￥43,冰淇淋,五里店/江北嘴,https://www.dianping.com/shop/H4nyF94aGnEEL4zp,https://img.meituan.net/content/f5c2ed0dd570c707c85fa7c24309a376114035.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k1kgJwIFGifX4fYu,瑞士莫凡彼冰淇淋Movenpick(重庆时代店),180条评价,￥56,冰淇淋,解放碑,https://www.dianping.com/shop/k1kgJwIFGifX4fYu,https://img.meituan.net/content/ff4010577a33aa9aca524555a53f9b19863656.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k10cEu3yT6FjvCTM,还山GELATO冰淇淋(光环店),150条评价,￥26,冰淇淋,北部新区,https://www.dianping.com/shop/k10cEu3yT6FjvCTM,https://p0.meituan.net/biztone/7ad554228cd748e21def8eadff7a3962419608.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G1HR9ybm4i1HKlQM,BON APPÉTIT(解放碑店),366条评价,￥39,其他美食,解放碑,https://www.dianping.com/shop/G1HR9ybm4i1HKlQM,https://img.meituan.net/content/d87bc9994bbc27aa3185a10dbebc5c1b898414.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l7Lkk6Wuh41voPsr,还山GELATO冰淇淋(时代天街E馆店),94条评价,￥25,冰淇淋,龙湖时代天街,https://www.dianping.com/shop/l7Lkk6Wuh41voPsr,https://p0.meituan.net/biztone/7ad554228cd748e21def8eadff7a3962419608.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
