店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
l6ip9pRiKHgNCein,GELATERIA IL DONO 里多浓意式冰淇淋(红旗街店),513条评价,￥24,冰淇淋,红旗街,https://www.dianping.com/shop/l6ip9pRiKHgNCein,http://p0.meituan.net/poipicadd/26aa679e0f39cadf4457768e55d074bb782109.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
k8gdgVhpnsOZDx4Y,费昂丝手工冰淇淋(居然世界里店),20条评价,￥16,冰淇淋,朝阳区,https://www.dianping.com/shop/k8gdgVhpnsOZDx4Y,http://p0.meituan.net/poipicadd/9895e8ab469b9f4d38bce02d08a0f468857753.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
l4H29I9RhZgZb3UZ,DQ·蛋糕·冰淇淋(红旗街万达店),2128条评价,￥21,冰淇淋,红旗街,https://www.dianping.com/shop/l4H29I9RhZgZb3UZ,https://img.meituan.net/content/5da0ad18e45d732653c64ff4c578cf33164900.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
G1qyWbXn5vRKUgSn,IMOLA GELATO·意大利冰淇淋(伟峰东域店),422条评价,￥56,冰淇淋,净月开发区/净月潭,https://www.dianping.com/shop/G1qyWbXn5vRKUgSn,http://p0.meituan.net/biztone/1471603510_1665908297193.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G7H7iMgz98FXltx6,费昂丝手工冰淇淋(4楼店),81条评价,￥14,冰淇淋,红旗街,https://www.dianping.com/shop/G7H7iMgz98FXltx6,http://p0.meituan.net/merchant/ceda10b663429eee26e8c5da8e728d77347364.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
G3Y2uVYlYZJdARg6,LACOLA意式手工冰淇淋(摩天活力城店),12条评价,￥42,冰淇淋,珠海路/经济开发区,https://www.dianping.com/shop/G3Y2uVYlYZJdARg6,https://p0.meituan.net/biztone/f07cf4313e8c79c79f887645f2b92635297393.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
k6JrZD8oIGyF9oPV,九十葉·抹茶专门店(长春·万象城店),334条评价,￥44,冰淇淋,人民广场,https://www.dianping.com/shop/k6JrZD8oIGyF9oPV,https://img.meituan.net/content/b3e7abd59f0aa155ed52106274bb3a4650302.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
H1oUlFSV0VUgWLa7,野人牧坊Gelato(长春万象城店),152条评价,￥26,冰淇淋,南岭,https://www.dianping.com/shop/H1oUlFSV0VUgWLa7,https://img.meituan.net/content/ae3d61e7b5dc745212b7bc37bc12c0ab104124.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
kaUBvZbQfzO6Mt4T,罗曼林冰淇淋(红旗街万达店),115条评价,￥15,冰淇淋,红旗街,https://www.dianping.com/shop/kaUBvZbQfzO6Mt4T,https://img.meituan.net/content/a3c71b1ce9733fcb7641c9992e7935b973514.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.0
k6Uqb5WYKmK2UgDd,费昂丝手工冰淇淋(欧亚卖场店),35条评价,￥13,冰淇淋,欧亚卖场,https://www.dianping.com/shop/k6Uqb5WYKmK2UgDd,https://p0.meituan.net/biztone/d92555d19560da9a9bdf83ffaf122f73750773.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,3.5
