店铺id,店铺名,评论总数,人均价格,标签1,标签2,详情链接,图片链接,店铺总分
G6aPQiENK7F6qWR0,富豪雪糕车流动点(铜锣湾),145条评价,￥15,面包甜点,湾仔/铜锣湾,https://www.dianping.com/shop/G6aPQiENK7F6qWR0,http://qcloud.dpfile.com/pc/Pcs4ochLyYuwjSccFQLidh8k3l1s9GnvdVbGM9mtzOiLGgLcesjY0MnF9oanCHImbKcq9vnEaGy3xLEf-_v_oA.jpg,4.5
ka3DJu8q3xT4enHd,Shari Shari Kakigori House(Tsim Sha Tsui),93条评价,￥75,冰淇淋,尖沙咀,https://www.dianping.com/shop/ka3DJu8q3xT4enHd,http://qcloud.dpfile.com/pc/DS-J4wXMr6STjC_AdHSuj-EWCXNCXhJkSN4_Xpvk2_68QDOfHvr0HFPbgU8uhSebbKcq9vnEaGy3xLEf-_v_oA.jpg,4.5
G8Sb2KOOKqeDE7tW,DIGREEN(旺角花園街店),21条评价,￥41,冰淇淋,旺角/太子,https://www.dianping.com/shop/G8Sb2KOOKqeDE7tW,http://p0.meituan.net/poipicadd/978bfd23cca1de2c34351374a7e4f3a3260111.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
FQOdn5FJsBLmK6Ou,Messina,300条评价,￥72,冰淇淋,中环/上环,https://www.dianping.com/shop/FQOdn5FJsBLmK6Ou,http://qcloud.dpfile.com/pc/flxYUuuZC0pjHSfTN1rLxySy1jKRkTdJbfSFdYnNdc2qdsBYA9CFkeSm2ZlF0OVmbKcq9vnEaGy3xLEf-_v_oA.jpg,4.5
FqsymftjsTiNWN7B,Sweets House Cha Cha(尖沙咀店),944条评价,￥41,冰淇淋,尖沙咀,https://www.dianping.com/shop/FqsymftjsTiNWN7B,http://qcloud.dpfile.com/pc/TfUdc1HHJ410NnOzk87hbISIsTGejcxsDj7p5_fsxqJ2SwA7qqbrx1ahNndICnYrbKcq9vnEaGy3xLEf-_v_oA.jpg,4.5
k2KzpdSMhybAJaeR,Dood bottega Gelateria(英皇集团中心店),47条评价,￥82,冰淇淋,尖沙咀,https://www.dianping.com/shop/k2KzpdSMhybAJaeR,http://qcloud.dpfile.com/pc/sz8xy5oQbWtpuU_G2Z4sIr107rlf9rCFeIZNHcDF5zvv0FK4tIzFYq6TBNOPIzR0bKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
G2fNHGE4eOQbQRrk,i CREMERiA,34条评价,￥84,冰淇淋,东涌,https://www.dianping.com/shop/G2fNHGE4eOQbQRrk,http://qcloud.dpfile.com/pc/nxxIQ8OBiUqSHop_1XDGVpfVy3elYDp-mhT5tpUbOm9ddzh3SIx9_DMt34ghD4vnbKcq9vnEaGy3xLEf-_v_oA.jpg,4.5
l9AvUjO5e3q01Cjs,Mamma Mia Gelato,14条评价,￥50,冰淇淋,旺角/太子,https://www.dianping.com/shop/l9AvUjO5e3q01Cjs,http://qcloud.dpfile.com/pc/5dsTWMEhatNYirQP2DDTyq0dIgP-2-n5pr9UYP6j3UXpOjr8DFJ5wzusOZplbZw8bKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
G2hx0NO2EJSpmBHT,富豪雪糕车流动点(尖沙咀),489条评价,￥11,冰淇淋,尖沙咀,https://www.dianping.com/shop/G2hx0NO2EJSpmBHT,http://qcloud.dpfile.com/pc/tCVbsoI2K-udNrQZ6a50p1bNkwkJ_vvE93G_B3avUZmC8tmzzKd4P_r64CXeZIK2bKcq9vnEaGy3xLEf-_v_oA.jpg,4.0
G2qw5b0ZQsScuFhO,Snack Baby Gelato & Drinks,41条评价,￥63,冰淇淋,中环/上环,https://www.dianping.com/shop/G2qw5b0ZQsScuFhO,http://p0.meituan.net/poipicadd/a1c1c7ac36eddee7e90ddee1a8ab1087384500.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0,4.5
